Course_Link,Image-wrapper_hti-1,image-module_image__1vzg2 src,Provider,Title,ReviewStars,Number_of_review,Duration_Week,Duration_per_week,Cost,Ribbon-module_wrapper__312EV
https://www.futurelearn.com/courses/data-science-projects-and-applications,"<img class=""image-module_image__1vzg2 image-module_cover__2_Sai"" src=""https://ugc.futurelearn.com/uploads/images/d7/27/thumbnail_d727ec5f-4001-4581-aa29-719768453ad2.jpg"" alt=""A mid-shot of three coders using a laptop superimposed over multiple lines of computer code""/>","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAASwAAADIBAMAAACg8cFmAAAAGFBMVEXt7e7KyszV1dfe3t/m5ufq6uvg4OHOztD3GVIkAAAAnklEQVR42u3OwQnCQBAAwENIASsWIFagpARtJCWID9v3c+d/QciezFQwDQAAAAAAAAAAAIAfWyJaQVpanVaGVoZWhlaGVobWHu7rUKq1xaA1ceu1Dq2OLc6tIC2tTitDK0MrQyvjv1vLY7hVah3iS2ve1vEyXFsZhzi1grS0Oq0MrQytDK0MrV28u2etVgxa87YAAAAAAAAAAAAApvYB2BwigkXIZZgAAAAASUVORK5CYII=",Packt & FutureLearn,Data Science Projects and Applications,,,2 weeks,2 hrs per week,Premium course,
https://www.futurelearn.com/courses/how-to-become-a-java-developer,"<img class=""image-module_image__1vzg2 image-module_cover__2_Sai"" src=""https://ugc.futurelearn.com/uploads/images/d3/e5/thumbnail_d3e531d8-1f95-4440-aab5-02a54b197a90.jpg"" alt=""Two men gaze at a computer screen surrounded by code. ""/>","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAASwAAADIBAMAAACg8cFmAAAAGFBMVEXt7e7KyszV1dfe3t/m5ufq6uvg4OHOztD3GVIkAAAAnklEQVR42u3OwQnCQBAAwENIASsWIFagpARtJCWID9v3c+d/QciezFQwDQAAAAAAAAAAAIAfWyJaQVpanVaGVoZWhlaGVobWHu7rUKq1xaA1ceu1Dq2OLc6tIC2tTitDK0MrQyvjv1vLY7hVah3iS2ve1vEyXFsZhzi1grS0Oq0MrQytDK0MrV28u2etVgxa87YAAAAAAAAAAAAApvYB2BwigkXIZZgAAAAASUVORK5CYII=",Packt & FutureLearn,How to Become a Java Developer,,,3 weeks,3 hrs per week,Premium course,
https://www.futurelearn.com/courses/how-to-program-in-c-plus-plus,"<img class=""image-module_image__1vzg2 image-module_cover__2_Sai"" src=""https://ugc.futurelearn.com/uploads/images/4f/c3/thumbnail_4fc34e1b-938b-41b4-9aa8-16b78c1477d6.jpg"" alt=""Group of computer programmers working in the office. Focus is on blond woman showing something to her colleague on PC relating to code.""/>","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAASwAAADIBAMAAACg8cFmAAAAGFBMVEXt7e7KyszV1dfe3t/m5ufq6uvg4OHOztD3GVIkAAAAnklEQVR42u3OwQnCQBAAwENIASsWIFagpARtJCWID9v3c+d/QciezFQwDQAAAAAAAAAAAIAfWyJaQVpanVaGVoZWhlaGVobWHu7rUKq1xaA1ceu1Dq2OLc6tIC2tTitDK0MrQyvjv1vLY7hVah3iS2ve1vEyXFsZhzi1grS0Oq0MrQytDK0MrV28u2etVgxa87YAAAAAAAAAAAAApvYB2BwigkXIZZgAAAAASUVORK5CYII=",Packt & FutureLearn,How to Program in C++,,,5 weeks,4 hrs per week,Premium course,
https://www.futurelearn.com/courses/introduction-to-networking-basics-with-ccna,"<img class=""image-module_image__1vzg2 image-module_cover__2_Sai"" src=""https://ugc.futurelearn.com/uploads/images/56/3a/thumbnail_563a8ab5-0ce5-4a26-84a7-8c9aad788c86.jpg"" alt=""Group of entrepreneurs and business people sitting at the table with laptops, tablets, charts and graphs on it""/>",https://ugc.futurelearn.com/uploads/images/56/3a/thumbnail_563a8ab5-0ce5-4a26-84a7-8c9aad788c86.jpg,Packt & FutureLearn,Introduction to Networking Basics with CCNA,,,3 weeks,3 hrs per week,Premium course,
https://www.futurelearn.com/courses/linux-operating-system-essentials,"<img class=""image-module_image__1vzg2 image-module_cover__2_Sai"" src=""https://ugc.futurelearn.com/uploads/images/fb/c3/thumbnail_fbc33cdd-3278-42c3-b0ab-4ef4b234a308.jpg"" alt=""A penguin looks over an icy plain. ""/>",https://ugc.futurelearn.com/uploads/images/fb/c3/thumbnail_fbc33cdd-3278-42c3-b0ab-4ef4b234a308.jpg,Packt & FutureLearn,Linux Operating System Essentials,,,2 weeks,3 hrs per week,Premium course,
https://www.futurelearn.com/courses/mobile-and-web-testing-with-selenium-webdriver-and-java,"<img class=""image-module_image__1vzg2 image-module_cover__2_Sai"" src=""https://ugc.futurelearn.com/uploads/images/3a/28/thumbnail_3a28f483-64a3-4b50-888b-2784b5b59111.jpg"" alt=""Collage of modern adults using smart phones in city with wifi signals""/>",https://ugc.futurelearn.com/uploads/images/3a/28/thumbnail_3a28f483-64a3-4b50-888b-2784b5b59111.jpg,Packt & FutureLearn,Mobile and Web Testing with Selenium WebDriver and Java,,,3 weeks,2 hrs per week,Premium course,
https://www.futurelearn.com/courses/selenium-automation-testing-for-web-applications,"<img class=""image-module_image__1vzg2 image-module_cover__2_Sai"" src=""https://ugc.futurelearn.com/uploads/images/7e/0d/thumbnail_7e0d0d1a-5709-485c-abbb-cc1b8a9e0257.jpg"" alt=""Shot of a young businesswomen using a computer at her desk in a modern office doing web application testing.""/>",https://ugc.futurelearn.com/uploads/images/7e/0d/thumbnail_7e0d0d1a-5709-485c-abbb-cc1b8a9e0257.jpg,Packt & FutureLearn,Selenium Automation Testing for Web Applications,,,3 weeks,2 hrs per week,Premium course,
https://www.futurelearn.com/courses/introduction-to-data-analytics-for-investment,"<img class=""image-module_image__1vzg2 image-module_cover__2_Sai"" src=""https://ugc.futurelearn.com/uploads/images/8f/ad/thumbnail_8fadea55-faf6-4f40-afa8-07d3e038500e.jpg"" alt=""Closeup of a stock broker&#x27;s hand analyzing the performance of a company stock on the internet on a price chart.""/>","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAASwAAADIBAMAAACg8cFmAAAAGFBMVEXt7e7KyszV1dfe3t/m5ufq6uvg4OHOztD3GVIkAAAAnklEQVR42u3OwQnCQBAAwENIASsWIFagpARtJCWID9v3c+d/QciezFQwDQAAAAAAAAAAAIAfWyJaQVpanVaGVoZWhlaGVobWHu7rUKq1xaA1ceu1Dq2OLc6tIC2tTitDK0MrQyvjv1vLY7hVah3iS2ve1vEyXFsZhzi1grS0Oq0MrQytDK0MrV28u2etVgxa87YAAAAAAAAAAAAApvYB2BwigkXIZZgAAAAASUVORK5CYII=",Sungkyunkwan University (SKKU),Introduction to Data Analytics for Investment,,,4 weeks,4 hrs per week,Included in Unlimited,
https://www.futurelearn.com/courses/using-r-for-regression-and-machine-learning-in-investment,"<img class=""image-module_image__1vzg2 image-module_cover__2_Sai"" src=""https://ugc.futurelearn.com/uploads/images/c6/0a/thumbnail_c60a1bac-8445-4671-820a-3891d8c5aa71.jpg"" alt=""Close-up financial or trading chart in purple on a LCD display, showing the dots and lines moving upwards.""/>","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAASwAAADIBAMAAACg8cFmAAAAGFBMVEXt7e7KyszV1dfe3t/m5ufq6uvg4OHOztD3GVIkAAAAnklEQVR42u3OwQnCQBAAwENIASsWIFagpARtJCWID9v3c+d/QciezFQwDQAAAAAAAAAAAIAfWyJaQVpanVaGVoZWhlaGVobWHu7rUKq1xaA1ceu1Dq2OLc6tIC2tTitDK0MrQyvjv1vLY7hVah3iS2ve1vEyXFsZhzi1grS0Oq0MrQytDK0MrV28u2etVgxa87YAAAAAAAAAAAAApvYB2BwigkXIZZgAAAAASUVORK5CYII=",Sungkyunkwan University (SKKU),R for Regression and Machine Learning in Investment,,,2 weeks,4 hrs per week,Included in Unlimited,
https://www.futurelearn.com/courses/build-a-physical-computing-prototype,"<img class=""image-module_image__1vzg2 image-module_cover__2_Sai"" src=""https://ugc.futurelearn.com/uploads/images/15/9f/thumbnail_159f810a-9adf-4181-9dbc-f59edf4fa072.jpg"" alt=""woman running looking at a smartwatch""/>","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAASwAAADIBAMAAACg8cFmAAAAGFBMVEXt7e7KyszV1dfe3t/m5ufq6uvg4OHOztD3GVIkAAAAnklEQVR42u3OwQnCQBAAwENIASsWIFagpARtJCWID9v3c+d/QciezFQwDQAAAAAAAAAAAIAfWyJaQVpanVaGVoZWhlaGVobWHu7rUKq1xaA1ceu1Dq2OLc6tIC2tTitDK0MrQyvjv1vLY7hVah3iS2ve1vEyXFsZhzi1grS0Oq0MrQytDK0MrV28u2etVgxa87YAAAAAAAAAAAAApvYB2BwigkXIZZgAAAAASUVORK5CYII=",Lancaster University & Institute of Coding,Build a Physical Computing Prototype,,,4 weeks,2 hrs per week,Included in Unlimited,
