course_link,Title,Instructor,duration,level,rating
https://www.pluralsight.com/courses/tfs-2015,End-to-end Software Development with Team Foundation Server 2015,by Esteban Garcia,4h 25m,Intermediate,-59
https://www.pluralsight.com/courses/state-of-dotnet-executive-briefing,State of .NET: Executive Briefing,by Brice Wilson,24m,Beginner,-52
https://www.pluralsight.com/courses/merging-data-sources-r,Merging Data Sources with R 3,by Dan Tofan,1h 29m,Beginner,-15
https://www.pluralsight.com/courses/google-cloud-compute-engine-solutions-choosing-implementing,Choosing and Implementing Google Cloud Compute Engine Solutions,by Janani Ravi,1h 58m,Beginner,-53
https://www.pluralsight.com/courses/google-cloud-functions-getting-started,Google Cloud Functions: Getting Started,by James Wilson,2h 27m,Beginner,-50
https://www.pluralsight.com/courses/data-storytelling-moving-beyond-static-data-visualizations,Data Storytelling: Moving Beyond Static Data Visualizations,by Troy Kranendonk,45m,Intermediate,-53
https://www.pluralsight.com/courses/google-cloud-platform-iam-regulating-resource,Regulating Resource Usage Using Google Cloud IAM,by Vitthal Srinivasan,1h 54m,Beginner,-15
https://www.pluralsight.com/courses/serilog-enrichers-getting-info-into-log-entries,Serilog 2 Enrichers: Getting Common Information into Log Entries,by Erik Dahl,33m,Intermediate,-35
https://www.pluralsight.com/courses/visual-studio-team-services-migrate-tfs,Visual Studio Team Services: Migrating from TFS,by Scott Tate,3h 52m,Beginner,-15
https://www.pluralsight.com/courses/visual-studio-2019-advanced-debugging,Advanced Debugging with Visual Studio 2019,by Kate Gregory,38m,Intermediate,-57
https://www.pluralsight.com/courses/effective-testing-with-spring,Effective Automated Testing with Spring,by Billy Korando,2h 7m,Intermediate,-53
https://www.pluralsight.com/courses/spring-framework-versioning-spring-data-rest-apis,Spring Framework: Versioning Spring Data REST APIs,by Craig Golightly,40m,Advanced,-52
https://www.pluralsight.com/courses/tactics-tools-troubleshooting-front-end-web-development,Tactics and Tools for Troubleshooting Front-end Web Development,by Shelley Benhoff,1h 37m,Intermediate,-51
https://www.pluralsight.com/courses/jira-integrations,Jira 8 Integrations,by Jim Weaver,1h 54m,Advanced,-45
https://www.pluralsight.com/courses/secure-account-authentication-practices-asp-dot-net-core,Secure User Account and Authentication Practices in ASP.NET 3 and ASP.NET Core 3,by Erik Dahl,2h 15m,Intermediate,-25
https://www.pluralsight.com/courses/real-time-web-dashboards-highcharts,Real-time Web Dashboards with Highcharts,by Ben Sullins,3h 14m,Beginner,-45
https://www.pluralsight.com/courses/wireless-network-penetration-testing-advanced-techniques,Wireless Network Penetration Testing Advanced Techniques,by Ricardo Reimao,1h 23m,Intermediate,-15
https://www.pluralsight.com/courses/maximizing-quality-visual-studio-team-services-test-hub,Maximizing Quality with Visual Studio Team Services Test Hub,by Scott Tate,3h 13m,Beginner,-15
https://www.pluralsight.com/courses/angularjs-in-depth,AngularJS In-Depth,by Lukas Ruebbelke,4h 56m,Intermediate,-586
https://www.pluralsight.com/courses/angular-2-first-look,Angular: First Look,by John Papa,4h 30m,Intermediate,-1105
https://www.pluralsight.com/courses/solving-real-world-problems-sql-server-2016-query-store,Solving Real World Problems with SQL Server 2016 Query Store,by Gail Shaw,2h 1m,Intermediate,-52
https://www.pluralsight.com/courses/whats-new-in-java-13,What’s New in Java 13,by Sander Mak,46m,Intermediate,-50
https://www.pluralsight.com/courses/managing-azure-sql-server-database-performance,Managing Azure SQL Server Database Performance,by Hugo Barona,1h 31m,Advanced,-45
https://www.pluralsight.com/courses/sql-server-databases-powershell,Accessing SQL Server Databases from Windows PowerShell,by Vlad Catrinescu,55m,Beginner,-59
https://www.pluralsight.com/courses/sql-server-2016-integration-services,What's New in SQL Server 2016 Integration Services,by Stacia Misner Varga,3h 19m,Intermediate,-35
https://www.pluralsight.com/courses/scraping-first-web-page-python,Scraping Your First Web Page with Python,by Janani Ravi,2h 39m,Beginner,-35
https://www.pluralsight.com/courses/azure-sql-database-diagnosing-performance-issues-dmvs,Azure SQL Database: Diagnosing Performance Issues with DMVs,by Glenn Berry,1h 30m,Intermediate,-15
https://www.pluralsight.com/courses/secure-coding-preventing-insufficient-logging-monitoring,Secure Coding: Preventing Insufficient Logging and Monitoring,by Peter Mosmans,1h 23m,Intermediate,-58
https://www.pluralsight.com/courses/secure-coding-using-components-known-vulnerabilities,Secure Coding: Using Components with Known Vulnerabilities,by Peter Mosmans,1h 13m,Intermediate,-45
https://www.pluralsight.com/courses/react-express-full-stack-app-building,Building a Full Stack App with React 16 and Express 4,by Daniel Stern,3h 13m,Advanced,-151
https://www.pluralsight.com/courses/windows-server-2016-dns,Implementing Windows Server 2016 DNS,by Orin Thomas,5h 47m,Intermediate,-89
https://www.pluralsight.com/courses/windows-server-2016-hyper-v,Implementing Windows Server 2016 Hyper-V,by Greg Shields,4h 49m,Intermediate,-64
https://www.pluralsight.com/courses/windows-server-2016-implementing-software-defined-networking,Implementing Windows Server 2016 Software Defined Networking,by John Savill,1h 58m,Intermediate,-32
https://www.pluralsight.com/courses/windows-server-2016-maintaining-monitoring,Maintaining and Monitoring Windows Server 2016,by Mike Pfeiffer,1h 43m,Intermediate,-27
https://www.pluralsight.com/courses/windows-server-2016-directaccess-managing-supporting,Managing and Supporting DirectAccess with Windows Server 2016,by Richard Hicks,3h 33m,Advanced,-17
https://www.pluralsight.com/courses/windows-server-2016-network-solutions,Implement Windows Server 2016 High Performance Network Solutions,by Orin Thomas,2h 14m,Advanced,-14
https://www.pluralsight.com/courses/windows-server-2016-manage-maintain-ad-domain-services,Manage and Maintain Active Directory Domain Services in Windows Server 2016,by Greg Shields,3h 52m,Intermediate,-49
https://www.pluralsight.com/courses/managing-cisco-products-advanced-api-methods,Managing Cisco Products Using Advanced API-based Methods,by Nick Russo,2h 42m,Intermediate,-27
https://www.pluralsight.com/courses/sqlserver-database-fundamentals,SQL Server: Understanding Database Fundamentals (98-364),by Tim Radney,2h 6m,Beginner,-80
https://www.pluralsight.com/courses/implementing-managing-office-365-advanced-threat-protection,Implementing and Managing Office 365 Advanced Threat Protection,by Michael Bender,1h 32m,Intermediate,-22
https://www.pluralsight.com/courses/implementing-analytics-real-time-data-aws,Implementing Analytics and Real Time Data in AWS,by Andru Estes,2h 5m,Advanced,-18
https://www.pluralsight.com/courses/security-analysis-cysa-plus,Security Analysis for CompTIA CySA+,by Dale Meredith,2h 35m,Intermediate,-38
https://www.pluralsight.com/courses/securing-data-secrets-aws,Securing Data and Secrets on AWS,by Pluralsight,1h 19m,Intermediate,-23
https://www.pluralsight.com/courses/agile-release-management,Agile Release Management,by Jan-Erik Sandberg,1h 32m,Intermediate,-306
https://www.pluralsight.com/courses/implementing-windows-server-2016-dhcp,Implementing Windows Server 2016 DHCP,by Michael Bender,2h 51m,Intermediate,-38
https://www.pluralsight.com/courses/network-services-cisco-ccna,Network Services for Cisco CCNA,by Ross Bagurdes,1h 4m,Intermediate,-16
https://www.pluralsight.com/courses/android-enhancing-application-experience,Enhancing the Android Application Experience,by Jim Wilson,4h 51m,Intermediate,-120
https://www.pluralsight.com/courses/android-managing-app-data-sqlite,Managing Android App Data with SQLite,by Jim Wilson,4h 27m,Intermediate,-82
https://www.pluralsight.com/courses/exam-alert-deploy-manage-az-compute-resources,Exam Alert: Deploy and Manage Azure Compute Resources,by Michael Teske,22m,Beginner,-23
https://www.pluralsight.com/courses/basic-security-concepts-cisco-networks,Basic Security Concepts for Cisco Networks,by Ross Bagurdes,1h 34m,Intermediate,-34
https://www.pluralsight.com/courses/microsoft-azure-administrator-create-configure-vm,Microsoft Azure Administrator: Create and Configure Virtual Machines,by Michael Teske,36m,Beginner,-48
https://www.pluralsight.com/courses/microsoft-azure-solutions-architect-implement-nosql-databases-strategy,Microsoft Azure Solutions Architect: Implement a NoSQL Databases Strategy,by Jurgen Kevelaers,56m,Advanced,-28
https://www.pluralsight.com/courses/incident-detection-investigation-qradar-apps,Incident Detection and Investigation with QRadar Apps,by Ricardo Reimao,1h 53m,Intermediate,-18
https://www.pluralsight.com/courses/advanced-networking-security-aws,Advanced Network Security on AWS,by Miguel  Saavedra,1h 34m,Advanced,-11
https://www.pluralsight.com/courses/introduction-cisco-automation-software-defined-networks,Introduction to Cisco Automation and Software Defined Networks,by Ross Bagurdes,1h 24m,Intermediate,-31
https://www.pluralsight.com/courses/introduction-dynamic-routing,Introduction to Dynamic Routing,by Ross Bagurdes,3h 20m,Intermediate,-29
https://www.pluralsight.com/courses/linux-system-security-lpic-2,Linux: System Security (LPIC-2),by Andrew Mallett,3h 6m,Intermediate,-17
https://www.pluralsight.com/courses/building-packet-tracer-labs-ccna-study-fundamentals,Building Packet Tracer Labs for CCNA Study: Fundamentals,by Ross Bagurdes,5h 20m,Intermediate,-22
https://www.pluralsight.com/courses/designing-deploying-exchange-2016-70-345-client-access,Designing/Deploying Exchange 2016: Client Access,by Paul Cunningham,3h 27m,Intermediate,-38
https://www.pluralsight.com/courses/building-configuring-troubleshooting-acls,"Building, Configuring, and Troubleshooting ACLs",by Ross Bagurdes,2h 37m,Intermediate,-27
https://www.pluralsight.com/courses/linux-kernel-system-startup,Linux Kernel and System Startup (LPIC-2),by Andrew Mallett,4h 50m,Intermediate,-87
https://www.pluralsight.com/courses/linux-advanced-file-system-management,Linux Advanced File System Management (LPIC-2),by Andrew Mallett,4h 9m,Intermediate,-66
https://www.pluralsight.com/courses/analyzing-data-aws,Analyzing Data on AWS,by Clarke Bishop,2h 12m,Intermediate,-28
https://www.pluralsight.com/courses/processing-data-aws,Processing Data on AWS,by Dan Tofan,1h 57m,Intermediate,-46
https://www.pluralsight.com/courses/deploying-network-configuration-management-telemetry-solutions,Deploying Network Configuration Management and Telemetry Solutions,by Nick Russo,2h 38m,Intermediate,-28
https://www.pluralsight.com/courses/introduction-networking-cisco-ccna,Introduction to Networking for Cisco CCNA,by Ross Bagurdes,1h 54m,Intermediate,-182
https://www.pluralsight.com/courses/scrum-development-jira-agile,Scrum Development with Jira & JIRA Agile,by Xavier Morera,1h 27m,Intermediate,-844
https://www.pluralsight.com/courses/getting-started-linux-system-administration,Getting Started with Linux System Administration,by David Clinton,1h 9m,Beginner,-174
https://www.pluralsight.com/courses/configuring-managing-microsoft-365-workload-integrations,Configuring and Managing Microsoft 365 Workload Integrations,by Vlad Catrinescu,4h 39m,Intermediate,-11
https://www.pluralsight.com/courses/sql-server-2012-querying-pt1,SQL Server 2012 Querying (70-461) Part 1,by Christopher Harrison,5h 12m,Intermediate,-1820
https://www.pluralsight.com/courses/cloud-computing-fundamentals-cloud-concepts,Cloud Computing Fundamentals: Cloud Concepts,by Eduardo Freitas,1h 34m,Beginner,-218
https://www.pluralsight.com/courses/network-layer-addressing-subnetting,Network Layer Addressing and Subnetting,by Ross Bagurdes,3h 48m,Intermediate,-106
https://www.pluralsight.com/courses/getting-started-linux,Getting Started with Linux,by David Clinton,1h 43m,Beginner,-382
https://www.pluralsight.com/courses/getting-started-linux-command-line,Getting Started with the Linux Command Line,by David Clinton,1h 3m,Beginner,-280
https://www.pluralsight.com/courses/managing-kubernetes-api-server-pods,Managing the Kubernetes API Server and Pods,by Anthony Nocentino,3h 44m,Intermediate,-164
https://www.pluralsight.com/courses/configuring-managing-kubernetes-networking-services-ingress,"Configuring and Managing Kubernetes Networking, Services, and Ingress",by Anthony Nocentino,2h 5m,Intermediate,-129
https://www.pluralsight.com/courses/configuring-managing-kubernetes-storage-scheduling,Configuring and Managing Kubernetes Storage and Scheduling,by Anthony Nocentino,2h 50m,Intermediate,-100
https://www.pluralsight.com/courses/introduction-security-architecture-aws,Introduction to Security and Architecture on AWS,by David Tucker,1h 58m,Beginner,-271
https://www.pluralsight.com/courses/amazon-aurora-best-practices,Amazon Aurora: Best Practices,by Kim Schmidt,3h 59m,Advanced,-16
https://www.pluralsight.com/courses/amazon-dynamodb-best-practices,Amazon DynamoDB: Best Practices,by Raj Saha,3h 17m,Advanced,-22
https://www.pluralsight.com/courses/azure-sql-database-dba,Azure SQL Database for the SQL Server DBA,by Warner Chaves,2h 46m,Intermediate,-123
https://www.pluralsight.com/courses/agile-requirements-process-idea-to-minimum-viable-product,Agile Requirements Process: From Idea to Minimum Viable Product,by Rusty Divine,2h 33m,Intermediate,-248
https://www.pluralsight.com/courses/automating-cisco-meraki-operations-using-apis,Automating Cisco Meraki Operations Using APIs,by Nick Russo,1h 28m,Intermediate,-12
https://www.pluralsight.com/courses/implementing-application-layer-protocols-cisco-networks,Implementing Application Layer Protocols for Cisco Networks,by Ross Bagurdes,2h 45m,Intermediate,-17
https://www.pluralsight.com/courses/collecting-data-aws,Collecting Data on AWS,by Fernando Medina Corey,2h 18m,Intermediate,-29
https://www.pluralsight.com/courses/juniper-networks-jncis-ent-jn0-343-layer-2-switching-vlans,Layer 2 Switching and VLANs in Junos OS,by Martin Brown,3h 33m,Intermediate,-16
https://www.pluralsight.com/courses/juniper-networks-jncis-ent-jn0-343-spanning-tree,Junos OS and the Spanning Tree Protocol,by Martin Brown,1h 39m,Intermediate,-10
https://www.pluralsight.com/courses/citrix-virtual-apps-desktops-deploy-on-premises-site,Citrix Virtual Apps and Desktops (CVAD): Deploy an On-Premises Site,by Greg Shields,2h 4m,Intermediate,-12
https://www.pluralsight.com/courses/citrix-virtual-apps-desktops-introduce-cvad-architecture,Citrix Virtual Apps and Desktops (CVAD): Introduce the CVAD Architecture,by Greg Shields,1h 16m,Intermediate,-21
https://www.pluralsight.com/courses/introduction-leadership-management-developers,Introduction to Leadership and Management for Developers,by Dan Appleman,4h 33m,Intermediate,-624
https://www.pluralsight.com/courses/securing-monitoring-aws-workloads,Securing and Monitoring AWS Workloads,by Saravanan Dhandapani,1h 58m,Advanced,-18
https://www.pluralsight.com/courses/cloud-computing-fundamentals-management-technical-operations,Cloud Computing Fundamentals: Management and Technical Operations,by Jurgen Kevelaers,1h 12m,Beginner,-10
https://www.pluralsight.com/courses/ethernet-operation-switch-configuration,Ethernet Operation and Switch Configuration,by Ross Bagurdes,3h 3m,Intermediate,-46
https://www.pluralsight.com/courses/configuring-governance-compliance-microsoft-teams-365-groups,Configuring Governance and Compliance for Microsoft Teams and Microsoft 365 Groups,by Vlad Catrinescu,4h 56m,Intermediate,-30
https://www.pluralsight.com/courses/advanced-network-system-administration-lfce,Advanced Linux Network and System Administration,by Anthony Nocentino,5h 44m,Intermediate,-32
https://www.pluralsight.com/courses/cisco-enterprise-networks-vlans-trunking,Cisco Enterprise Networks: VLANs and Trunking,by Ben Piper,2h 23m,Intermediate,-20
https://www.pluralsight.com/courses/cisco-collaboration-core-infrastructure-design,Cisco Collaboration Core: Infrastructure and Design,by Sean Douglas,3h 15m,Intermediate,-14
https://www.pluralsight.com/courses/cisco-enterprise-networks-bgp-path-control,Cisco Enterprise Networks: BGP and Path Control,by Ben Piper,2h 23m,Intermediate,-10
https://www.pluralsight.com/courses/cisco-wireless-basic-operation-configuration,Cisco Wireless Basic Operation and Configuration,by Ross Bagurdes,1h 34m,Intermediate,-26
