Course_Link,image-module_image__1vzg2 src,Provider,Title,ReviewStars,Number_of_review,Duration_Week,Duration_per_week,Cost,Image-wrapper_hti-1
https://www.futurelearn.com/courses/ideation-in-engineering-design,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAASwAAADIBAMAAACg8cFmAAAAGFBMVEXt7e7KyszV1dfe3t/m5ufq6uvg4OHOztD3GVIkAAAAnklEQVR42u3OwQnCQBAAwENIASsWIFagpARtJCWID9v3c+d/QciezFQwDQAAAAAAAAAAAIAfWyJaQVpanVaGVoZWhlaGVobWHu7rUKq1xaA1ceu1Dq2OLc6tIC2tTitDK0MrQyvjv1vLY7hVah3iS2ve1vEyXFsZhzi1grS0Oq0MrQytDK0MrV28u2etVgxa87YAAAAAAAAAAAAApvYB2BwigkXIZZgAAAAASUVORK5CYII=",Universiti Malaya,Ideation: The First Step in Engineering Design,,,3 weeks,2 hrs per week,Included in Unlimited,"<img class=""image-module_image__1vzg2 image-module_cover__2_Sai"" src=""https://ugc.futurelearn.com/uploads/images/47/82/thumbnail_478213f5-6f66-41ed-8d4a-d0f4ad6b330d.jpg"" alt=""a man drawing a technical illustration""/>"
https://www.futurelearn.com/courses/azure-cloud-fundamentals,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAASwAAADIBAMAAACg8cFmAAAAGFBMVEXt7e7KyszV1dfe3t/m5ufq6uvg4OHOztD3GVIkAAAAnklEQVR42u3OwQnCQBAAwENIASsWIFagpARtJCWID9v3c+d/QciezFQwDQAAAAAAAAAAAIAfWyJaQVpanVaGVoZWhlaGVobWHu7rUKq1xaA1ceu1Dq2OLc6tIC2tTitDK0MrQyvjv1vLY7hVah3iS2ve1vEyXFsZhzi1grS0Oq0MrQytDK0MrV28u2etVgxa87YAAAAAAAAAAAAApvYB2BwigkXIZZgAAAAASUVORK5CYII=","CloudSwyft Global Systems, Inc. & Microsoft",Microsoft Future Ready: Azure Cloud Fundamentals,4.3,(8 reviews),3 weeks,4 hrs per week,Premium course,"<img class=""image-module_image__1vzg2 image-module_cover__2_Sai"" src=""https://ugc.futurelearn.com/uploads/images/0f/1c/thumbnail_0f1ca13c-3fd1-4543-b36f-c2456a54068e.jpg"" alt=""a data centre""/>"
https://www.futurelearn.com/courses/research-methods-psychology-animal-models-to-understand-human-behaviour,https://ugc.futurelearn.com/uploads/images/74/c6/thumbnail_74c6b977-21e4-4932-9372-c41f0535ae05.jpg,University of Padova,Research Methods in Psychology: Using Animal Models to Understand Human Behaviour,4.8,(8 reviews),4 weeks,4 hrs per week,Included in Unlimited,"<img class=""image-module_image__1vzg2 image-module_cover__2_Sai"" src=""https://ugc.futurelearn.com/uploads/images/74/c6/thumbnail_74c6b977-21e4-4932-9372-c41f0535ae05.jpg"" alt=""Brain made of animals""/>"
https://www.futurelearn.com/courses/irvine-intermediate-python,https://ugc.futurelearn.com/uploads/images/58/05/thumbnail_58058f3e-46c9-41a8-8659-b698765098c3.jpg,"University of California, Irvine",Intermediate Python,4.5,(8 reviews),6 weeks,3 hrs per week,Included in Unlimited,"<img class=""image-module_image__1vzg2 image-module_cover__2_Sai"" src=""https://ugc.futurelearn.com/uploads/images/58/05/thumbnail_58058f3e-46c9-41a8-8659-b698765098c3.jpg"" alt=""Person typing on laptop computer with coding lines displayed on the screen""/>"
https://www.futurelearn.com/courses/mathematics-for-computer-scientists,https://ugc.futurelearn.com/uploads/images/8e/84/thumbnail_8e84dc74-4c4f-4a15-a78c-721511631cae.jpg,University of Hull,Mathematics for Computer Science: Essential Skills,4.4,(18 reviews),3 weeks,3 hrs per week,Included in Unlimited,"<img class=""image-module_image__1vzg2 image-module_cover__2_Sai"" src=""https://ugc.futurelearn.com/uploads/images/8e/84/thumbnail_8e84dc74-4c4f-4a15-a78c-721511631cae.jpg"" alt=""mathematical formulae on a computer screen""/>"
https://www.futurelearn.com/courses/scientific-revolution,https://ugc.futurelearn.com/uploads/images/bb/ce/thumbnail_bbce78e4-8a78-45e9-80d8-fbb841362f0e.jpg,University of Groningen,The Scientific Revolution: Understanding the Roots of Modern Science,3.9,(72 reviews),3 weeks,3 hrs per week,Included in Unlimited,"<img class=""image-module_image__1vzg2 image-module_cover__2_Sai"" src=""https://ugc.futurelearn.com/uploads/images/bb/ce/thumbnail_bbce78e4-8a78-45e9-80d8-fbb841362f0e.jpg"" alt=""Galileo and Viviani by Tito Lessi, 1892 - displayed with permission of Museo Galileo""/>"
https://www.futurelearn.com/courses/introduction-to-data-science-for-business,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAASwAAADIBAMAAACg8cFmAAAAGFBMVEXt7e7KyszV1dfe3t/m5ufq6uvg4OHOztD3GVIkAAAAnklEQVR42u3OwQnCQBAAwENIASsWIFagpARtJCWID9v3c+d/QciezFQwDQAAAAAAAAAAAIAfWyJaQVpanVaGVoZWhlaGVobWHu7rUKq1xaA1ceu1Dq2OLc6tIC2tTitDK0MrQyvjv1vLY7hVah3iS2ve1vEyXFsZhzi1grS0Oq0MrQytDK0MrV28u2etVgxa87YAAAAAAAAAAAAApvYB2BwigkXIZZgAAAAASUVORK5CYII=",FutureLearn,Introduction to Data Science for Business,,,4 weeks,3 hrs per week,Included in Unlimited,"<img class=""image-module_image__1vzg2 image-module_cover__2_Sai"" src=""https://ugc.futurelearn.com/uploads/images/f3/6f/thumbnail_f36f939b-3341-4b91-8a32-b3df62a8dded.jpg"" alt=""Woman looking at information and data on a clear screen in front of her. ""/>"
https://www.futurelearn.com/courses/ocean-science-in-action-addressing-marine-ecosystems-and-food-security-in-the-western-indian-ocean,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAASwAAADIBAMAAACg8cFmAAAAGFBMVEXt7e7KyszV1dfe3t/m5ufq6uvg4OHOztD3GVIkAAAAnklEQVR42u3OwQnCQBAAwENIASsWIFagpARtJCWID9v3c+d/QciezFQwDQAAAAAAAAAAAIAfWyJaQVpanVaGVoZWhlaGVobWHu7rUKq1xaA1ceu1Dq2OLc6tIC2tTitDK0MrQyvjv1vLY7hVah3iS2ve1vEyXFsZhzi1grS0Oq0MrQytDK0MrV28u2etVgxa87YAAAAAAAAAAAAApvYB2BwigkXIZZgAAAAASUVORK5CYII=",National Oceanography Centre,Ocean Science in Action: Addressing Marine Ecosystems and Food Security,4.8,(93 reviews),4 weeks,3 hrs per week,Included in Unlimited,"<img class=""image-module_image__1vzg2 image-module_cover__2_Sai"" src=""https://ugc.futurelearn.com/uploads/images/b4/42/thumbnail_b4420241-2f15-4e3a-9c05-66d0a36738e9.jpg"" alt=""Marine scientists carrying ocean robot to the water ""/>"
https://www.futurelearn.com/courses/public-health-incidents-involving-lead,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAASwAAADIBAMAAACg8cFmAAAAGFBMVEXt7e7KyszV1dfe3t/m5ufq6uvg4OHOztD3GVIkAAAAnklEQVR42u3OwQnCQBAAwENIASsWIFagpARtJCWID9v3c+d/QciezFQwDQAAAAAAAAAAAIAfWyJaQVpanVaGVoZWhlaGVobWHu7rUKq1xaA1ceu1Dq2OLc6tIC2tTitDK0MrQyvjv1vLY7hVah3iS2ve1vEyXFsZhzi1grS0Oq0MrQytDK0MrV28u2etVgxa87YAAAAAAAAAAAAApvYB2BwigkXIZZgAAAAASUVORK5CYII=",UK Health Security Agency,Public Health Incidents Involving Lead,4.7,(6 reviews),4 weeks,2 hrs per week,Included in Unlimited,"<img class=""image-module_image__1vzg2 image-module_cover__2_Sai"" src=""https://ugc.futurelearn.com/uploads/images/bf/55/thumbnail_bf5542d4-a11e-4ba7-b287-3a1c71324600.jpg"" alt=""""/>"
https://www.futurelearn.com/courses/introduction-artificial-intelligence-tourism,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAASwAAADIBAMAAACg8cFmAAAAGFBMVEXt7e7KyszV1dfe3t/m5ufq6uvg4OHOztD3GVIkAAAAnklEQVR42u3OwQnCQBAAwENIASsWIFagpARtJCWID9v3c+d/QciezFQwDQAAAAAAAAAAAIAfWyJaQVpanVaGVoZWhlaGVobWHu7rUKq1xaA1ceu1Dq2OLc6tIC2tTitDK0MrQyvjv1vLY7hVah3iS2ve1vEyXFsZhzi1grS0Oq0MrQytDK0MrV28u2etVgxa87YAAAAAAAAAAAAApvYB2BwigkXIZZgAAAAASUVORK5CYII=",Luleå University of Technology,An Introduction to Artificial Intelligence in the Tourism Industry,,,2 weeks,4 hrs per week,Included in Unlimited,"<img class=""image-module_image__1vzg2 image-module_cover__2_Sai"" src=""https://ugc.futurelearn.com/uploads/images/b9/ae/thumbnail_b9aef9fb-4472-4876-a367-cb104cf27ec8.jpg"" alt=""Graphic showing robot hand pointing at small lights that are symbolising brain activity""/>"
