"Course Title","Course URL","Duration","Rating"
"Threat Modeling the Right Way for Builders Workshop","https://explore.skillbuilder.aws/learn/course/external/view/elearning/13274/threat-modeling-the-right-way-for-builders-workshop","3h 00m","5.0"
"Optimizing your FinOps Strategy with AWS","https://explore.skillbuilder.aws/learn/course/external/view/elearning/13231/optimizing-your-finops-strategy-with-aws","1h 00m","5.0"
"Selecting your Data Migration Strategy with AWS","https://explore.skillbuilder.aws/learn/course/external/view/elearning/13209/selecting-your-data-migration-strategy-with-aws","30m 00s","5.0"
"Getting Started with AWS Systems Manager","https://explore.skillbuilder.aws/learn/course/external/view/elearning/13045/getting-started-with-aws-systems-manager","1h 00m","5.0"
"AWS Cloud Economics for Startups","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12954/aws-cloud-economics-for-startups","1h 00m","5.0"
"Recorded Webinar: Cloud Essentials for Everyone","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12928/recorded-webinar-cloud-essentials-for-everyone","1h 30m","5.0"
"Getting Started with Network Load Balancer (NLB)","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12808/getting-started-with-network-load-balancer-nlb","2h 00m","5.0"
"Getting Started with AWS Config","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12609/getting-started-with-aws-config","1h 30m","5.0"
"Amazon EC2 Basics","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12471/amazon-ec2-basics","50m 00s","5.0"
"AWS Networking Basics","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12439/aws-networking-basics","2h 00m","5.0"
"Getting Started with Amazon Personalize","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12437/getting-started-with-amazon-personalize","1h 30m","5.0"
"Getting Started with Amazon RDS for MariaDB","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12331/getting-started-with-amazon-rds-for-mariadb","1h 00m","5.0"
"Amazon Connect: Introduction to the Administrative Interface","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12328/amazon-connect-introduction-to-the-administrative-interface","1h 30m","5.0"
"Amazon Connect: Creating and Managing Amazon Connect Instances","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12304/amazon-connect-creating-and-managing-amazon-connect-instances","1h 00m","5.0"
"Introduction to Amazon Connect and the Connect Control Panel (CCP)","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12303/introduction-to-amazon-connect-and-the-connect-control-panel-ccp","45m 00s","5.0"
"Getting Started with Amazon DocumentDB (with MongoDB compatibility)","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12290/getting-started-with-amazon-documentdb-with-mongodb-compatibility","1h 00m","5.0"
"Amazon FSx for NetApp ONTAP Primer","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12238/amazon-fsx-for-netapp-ontap-primer","1h 15m","5.0"
"SAP on AWS (Technical)","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12164/sap-on-aws-technical","4h 00m","5.0"
"Getting Started with AWS IoT","https://explore.skillbuilder.aws/learn/course/external/view/elearning/11841/getting-started-with-aws-iot","35m 00s","5.0"
"Building a Machine Learning Ready Organization","https://explore.skillbuilder.aws/learn/course/external/view/elearning/11323/building-a-machine-learning-ready-organization","30m 00s","5.0"
"Introduction to Machine Learning: Art of the Possible","https://explore.skillbuilder.aws/learn/course/external/view/elearning/11322/introduction-to-machine-learning-art-of-the-possible","30m 00s","5.0"
"Getting Started with Amazon Location Service","https://explore.skillbuilder.aws/learn/course/external/view/elearning/11215/getting-started-with-amazon-location-service","20m 00s","5.0"
"AWS Cloud for Finance Professionals","https://explore.skillbuilder.aws/learn/course/external/view/elearning/10803/aws-cloud-for-finance-professionals","17h 00m","5.0"
"AWS Elemental Statmux","https://explore.skillbuilder.aws/learn/course/external/view/elearning/10210/aws-elemental-statmux","1h 00m","5.0"
"Getting Started with Amazon MemoryDB for Redis","https://explore.skillbuilder.aws/learn/course/external/view/elearning/10067/getting-started-with-amazon-memorydb-for-redis","1h 00m","5.0"
"AWS re:Post | Guidance for Community Users","https://explore.skillbuilder.aws/learn/course/external/view/elearning/9993/aws-repost-guidance-for-community-users","16h 20m","5.0"
"Getting Started with AWS for Games – Part II","https://explore.skillbuilder.aws/learn/course/external/view/elearning/9406/getting-started-with-aws-for-games-part-ii","30m 00s","5.0"
"AWS Cloud Essentials for Business Leaders (Financial Services)","https://explore.skillbuilder.aws/learn/course/external/view/elearning/9200/aws-cloud-essentials-for-business-leaders-financial-services","2h 00m","5.0"
"AWS Cloud Essentials for Business Leaders","https://explore.skillbuilder.aws/learn/course/external/view/elearning/9199/aws-cloud-essentials-for-business-leaders","2h 00m","5.0"
"Installing AWS Outposts Servers","https://explore.skillbuilder.aws/learn/course/external/view/elearning/8828/installing-aws-outposts-servers","10m 00s","5.0"
"Getting Started with Amazon EMR","https://explore.skillbuilder.aws/learn/course/external/view/elearning/8827/getting-started-with-amazon-emr","1h 00m","5.0"
"Introduction to Step Functions","https://explore.skillbuilder.aws/learn/course/external/view/elearning/8819/introduction-to-step-functions","35m 00s","5.0"
"Getting Started with AWS Glue","https://explore.skillbuilder.aws/learn/course/external/view/elearning/8171/getting-started-with-aws-glue","1h 00m","5.0"
