Course Title,Course URL,Duration,Rating,Cost,Level,Description,Platform
AWS SaaS Factory Architecture Track: SaaS Migration Strategies,https://explore.skillbuilder.aws/learn/course/external/view/elearning/465/aws-saas-factory-architecture-track-saas-migration-strategies,1h 35m,5.0,Free,Fundamental,"Many independent software vendors (ISVs) would like to deliver solutions based on a software-as-a-service (SaaS) model, but find it daunting to migrate a single-tenant application to a multi-tenant environment. In this course, you will learn common strategies that ISVs employ as they consider the move to SaaS. You will also review a wide range of transformation patterns that cover everything from lift and shift of your monolith to an incremental cutover to multi-tenant-aware microservices, data, and infrastructure. You will see the challenges and technical considerations that shape a solution, allowing you to better align with SaaS best practices.",AWS
Introduction to Blockchain,https://explore.skillbuilder.aws/learn/course/external/view/elearning/462/introduction-to-blockchain,1h 00m,5.0,Free,Fundamental,"This introductory course is designed for technical and nontechnical learners who are unfamiliar with blockchain and interested in how this technology can solve business problems.  The course covers core blockchain concepts, benefits, and potential hurdles. The course also provides real-world examples of how businesses have implemented blockchain to solve a business need.",AWS
Let's Build in Amazon Honeycode,https://explore.skillbuilder.aws/learn/course/external/view/elearning/461/lets-build-in-amazon-honeycode,30m 00s,5.0,Free,Fundamental,,AWS
Accelerating Messaging Modernization with Amazon MQ,https://explore.skillbuilder.aws/learn/course/external/view/elearning/460/accelerating-messaging-modernization-with-amazon-mq,1h 30m,5.0,Free,Fundamental,"This course is designed to help solution architects and developers who are looking to modernize their existing message-oriented middleware (MOM) or message broker architectures. You will learn the differences between traditional legacy architectures and modern messaging architectures. You will review several paths that customers may follow to modernize their messaging environments, including the benefits and costs of each approach. You will also be introduced to Amazon MQ and participate in several hands-on labs to better understand it. This fully managed message broker service uses industry-standard APIs and protocols (including JMS, NMS, AMQP, STOMP, MQTT, and WebSocket).",AWS
Cloud Audit Academy - Cloud Agnostic,https://explore.skillbuilder.aws/learn/course/external/view/elearning/459/cloud-audit-academy-cloud-agnostic,3h 00m,5.0,Free,Fundamental,"In this course, you will learn how to audit cloud security. This fundamental course dives into cloud-specific audit considerations and best practices, and is aligned to common security and compliance domains. It also includes a checklist to prepare you for auditing security in the cloud.",AWS
AWS Identity and Access Management - Basics,https://explore.skillbuilder.aws/learn/course/external/view/elearning/454/aws-identity-and-access-management-basics,15m 00s,5.0,Free,Fundamental,,AWS
Getting Started with AWS for Games – Part I,https://explore.skillbuilder.aws/learn/course/external/view/elearning/450/getting-started-with-aws-for-games-part-i,55m 00s,5.0,Free,Fundamental,"This course is scheduled to be updated on Friday, April 7, 2023 at which time your progress in the course will be disrupted. If you have completed the course prior to that date, your progress will not be impacted.",AWS
Migrating to AWS: A high level introduction,https://explore.skillbuilder.aws/learn/course/external/view/elearning/449/migrating-to-aws-a-high-level-introduction,40m 00s,5.0,Free,Fundamental,"This course provides an overview of the key topics and target audience of the Migrating to AWS classroom course. Additionally, this course will show demonstrations from the Migrating to AWS classroom course including using AWS Migration Hub to track migration projects and employing AWS Database Migration Service to migrate databases to Amazon Aurora",AWS
Amazon Route 53 - Domains,https://explore.skillbuilder.aws/learn/course/external/view/elearning/443/amazon-route-53-domains,10m 00s,5.0,Free,Fundamental,,AWS
Machine Learning in the Cloud with AWS Batch,https://explore.skillbuilder.aws/learn/course/external/view/elearning/441/machine-learning-in-the-cloud-with-aws-batch,20m 00s,5.0,Free,Fundamental,,AWS
Detect Anomalies in Game Transactions with ML and Sagemaker,https://explore.skillbuilder.aws/learn/course/external/view/elearning/440/detect-anomalies-in-game-transactions-with-ml-and-sagemaker,30m 00s,5.0,Free,Fundamental,Game studios that are building and operating multiple games tend to redo much of the server-side validation of transactional data received from game clients. This course covers the use of a central model (or multiple models per game) for offloading server processing and improving server response time. The course reviews the different anomalies associated with game transaction data and how machine learning (ML) can help perform validations.,AWS
SaaS Business Fundamentals,https://explore.skillbuilder.aws/learn/course/external/view/elearning/439/saas-business-fundamentals,1h 30m,5.0,Free,Fundamental,"In this course, you will learn about the software-as-a-service (SaaS) delivery model and its growing relevance, driven by a shift in consumption preferences. You will also be introduced to the business transformation necessary for a successful SaaS organization, as well as review case studies.",AWS
Amazon Aurora MySQL - Migration,https://explore.skillbuilder.aws/learn/course/external/view/elearning/438/amazon-aurora-mysql-migration,20m 00s,4.0,Free,Fundamental,"In this course, you will gain an understanding of available Amazon Aurora MySQL database migration methods and important aspects to consider when choosing a migration method. A database migration to a new platform is a significant event in an application’s lifecycle. It may impact application performance, availability, and reliability. Course provided by AWS Support.",AWS
Amazon Quantum Ledger Database (QLDB) Service Introduction,https://explore.skillbuilder.aws/learn/course/external/view/elearning/427/amazon-quantum-ledger-database-qldb-service-introduction,10m 00s,5.0,Free,Fundamental,"This course introduces you to Amazon Quantum Ledger Database (QLDB), the service that provides a graph database for AWS customers. This course introduces you to the service and its core features and capabilities.",AWS
Introduction to AWS Inferentia and Amazon EC2 Inf1 Instances,https://explore.skillbuilder.aws/learn/course/external/view/elearning/426/introduction-to-aws-inferentia-and-amazon-ec2-inf1-instances,15m 00s,5.0,Free,Fundamental,,AWS
Amazon Honeycode Essentials,https://explore.skillbuilder.aws/learn/course/external/view/elearning/423/amazon-honeycode-essentials,20m 00s,5.0,Free,Fundamental,"In this introductory course, you will learn the basics of Amazon Honeycode and become familiar with its interface. The course starts with an overview, followed by a guided tour using a standard template. After exploring the interface, you will continue through each of the main views used to build Amazon Honeycode apps.",AWS
AWS Foundations: Strategies and Tools to Perform Large-Scale Migrations,https://explore.skillbuilder.aws/learn/course/external/view/elearning/419/aws-foundations-strategies-and-tools-to-perform-large-scale-migrations,1h 00m,5.0,Free,Fundamental,,AWS
Introduction to AWS Global Accelerator,https://explore.skillbuilder.aws/learn/course/external/view/elearning/398/introduction-to-aws-global-accelerator,08m 00s,5.0,Free,Fundamental,,AWS
Amazon Aurora Service Primer,https://explore.skillbuilder.aws/learn/course/external/view/elearning/394/amazon-aurora-service-primer,20m 00s,5.0,Free,Fundamental,"This course introduces you to Amazon Aurora and its core features and capabilities. The course describes how this service integrates with other AWS services, introduces important terminology and technology concepts, and includes a demonstration of the service.",AWS
Amazon Aurora Service Introduction,https://explore.skillbuilder.aws/learn/course/external/view/elearning/393/amazon-aurora-service-introduction,05m 00s,4.0,Free,Fundamental,,AWS
IoT Foundation: Predictive Maintenance,https://explore.skillbuilder.aws/learn/course/external/view/elearning/391/iot-foundation-predictive-maintenance,2h 00m,5.0,Free,Fundamental,"This is the fourth course in the AWS Internet of Things (IoT) Foundation series. In this course, you will build on the concepts introduced in previous lessons, which covered onboarding single devices, establishing communication with them, collecting and visualizing data received, and managing a fleet of devices. This course focuses on using AWS services to predict failure of IoT devices in an industrial setting.  You will also learn how to use AWS services such as AWS IoT Analytics, AWS IoT Rules Engine, and AWS QuickSight to collect, visualize, and analyze data in order to take automated action based on data collected from your IoT devices.",AWS
Amazon ElastiCache Service Primer,https://explore.skillbuilder.aws/learn/course/external/view/elearning/389/amazon-elasticache-service-primer,20m 00s,5.0,Free,Fundamental,"This course introduces you to Amazon ElastiCache and its core features and capabilities. The course describes how this service integrates with other AWS services, introduces important terminology and technology concepts, and includes a demonstration of the service.",AWS
Demystifying AI/ML/DL,https://explore.skillbuilder.aws/learn/course/external/view/elearning/385/demystifying-aimldl,45m 00s,5.0,Free,Fundamental,,AWS
Introduction to Amazon Kinesis Data Analytics for Java Applications,https://explore.skillbuilder.aws/learn/course/external/view/elearning/384/introduction-to-amazon-kinesis-data-analytics-for-java-applications,15m 00s,5.0,Free,Fundamental,"The new support for Java programming in Amazon Kinesis Data Analytics helps you solve challenges, and this course will show you how. You’ll also learn how the SDKs are supported through Apache Flink libraries and see how it works in real-world use cases.",AWS
Amazon Neptune Service Introduction,https://explore.skillbuilder.aws/learn/course/external/view/elearning/379/amazon-neptune-service-introduction,05m 00s,5.0,Free,Fundamental,"This course introduces you to Amazon Neptune, the service that provides a graph database for AWS customers. This course introduces you to the service and its core features and capabilities.",AWS
AWS Managed Services (AMS): Incident Management Overview,https://explore.skillbuilder.aws/learn/course/external/view/elearning/376/aws-managed-services-ams-incident-management-overview,10h 00m,5.0,Free,Fundamental,"AWS Managed Services (AMS) operates Amazon Web Services (AWS) on customers’ behalf. AMS provides a secure and compliant AWS Landing Zone, a proven enterprise operating model, ongoing cost optimization, and day-to-day infrastructure management. In this course, you will learn how to identify incidents. You will also learn about the AMS process for managing incidents from identification through resolution.",AWS
PostgreSQL Fundamentals,https://explore.skillbuilder.aws/learn/course/external/view/elearning/372/postgresql-fundamentals,20m 00s,5.0,Free,Fundamental,"This course offers a Foundational introduction to PostgreSQL, which is an open-source relational database management system. You will learn about the history of PostgreSQL, get an introduction to databases, and learn PostgreSQL fundamentals. You will also learn how to begin using PostgreSQL databases.",AWS
Amazon RDS Service Introduction,https://explore.skillbuilder.aws/learn/course/external/view/elearning/370/amazon-rds-service-introduction,05m 00s,5.0,Free,Fundamental,,AWS
Amazon DocumentDB Service Introduction,https://explore.skillbuilder.aws/learn/course/external/view/elearning/366/amazon-documentdb-service-introduction,05m 00s,4.0,Free,Fundamental,,AWS
AWS Managed Services (AMS): Security Management Overview,https://explore.skillbuilder.aws/learn/course/external/view/elearning/363/aws-managed-services-ams-security-management-overview,4h 30m,5.0,Free,Fundamental,"AWS Managed Services (AMS) operates Amazon Web Services (AWS) on behalf of customers. AMS provides a secure and compliant AWS Landing Zone, a proven enterprise operating model, ongoing cost optimization, and day-to-day infrastructure management. In this course, you will learn about AMS security policies and management.",AWS
Introduction to Decoupled Applications,https://explore.skillbuilder.aws/learn/course/external/view/elearning/362/introduction-to-decoupled-applications,20m 00s,4.0,Free,Fundamental,"In this introductory course, you will learn the basics of decoupling applications, and the benefits of a decoupled architecture, like scaling up easily, and releasing features faster. You will also learn how to integrate decoupled components, and how to choose between various integration options like application programming interfaces (APIs), queues, topics, and more.",AWS
AWS SaaS Factory Architecture Track: SaaS Identity and Onboarding,https://explore.skillbuilder.aws/learn/course/external/view/elearning/361/aws-saas-factory-architecture-track-saas-identity-and-onboarding,1h 00m,5.0,Free,Fundamental,"Identity and onboarding are among the first things to consider when building a SaaS solution. These concepts are often addressed as part of common flow, where a tenant’s identity, configuration, and provisioning are all orchestrated as part of the onboarding flow. In this course, you will learn the end-to-end elements of the onboarding process and highlight key considerations of building a robust SaaS identity and onboarding experience. You will also explore a specific approach that leverages OpenID Connect to embed tenant context into your system’s identity tokens, and examine how these tokens can be used to scope access to tenant resources. You will also explore the broader elements of onboarding, including billing relationships and the configuration and provisioning of the tenant environment.",AWS
Introduction to Amazon Route 53 Resolver,https://explore.skillbuilder.aws/learn/course/external/view/elearning/355/introduction-to-amazon-route-53-resolver,1h 10m,5.0,Free,Fundamental,"The ability to query your on-premises internal DNS zones from within your VPCs, as well as to query Route 53 Private DNS from your corporate data centers is a must for a successful hybrid implementation.  This lesson introduces the Amazon Route 53 Resolver service, which offers a unified view of DNS across your hybrid network by providing bi-directional query resolution.  A demonstration on how to set up Amazon Route 53 Resolver is also included in this lesson.",AWS
Amazon Redshift Service Primer,https://explore.skillbuilder.aws/learn/course/external/view/elearning/354/amazon-redshift-service-primer,20m 00s,5.0,Free,Fundamental,,AWS
Machine Learning for Business Challenges,https://explore.skillbuilder.aws/learn/course/external/view/elearning/349/machine-learning-for-business-challenges,1h 00m,5.0,Free,Fundamental,"Machine learning (ML) can help you solve business problems in ways that weren't possible before—but you've got to think big. Listen in as some of Amazon's own Machine Learning Scientists discuss how to make the most of ML. We'll cover ML terminology, business problems, use cases, and examples. By the end of this course, you'll have a better understanding of how to think about machine learning  business challenges and decisions.",AWS
Introduction to AWS Ground Station,https://explore.skillbuilder.aws/learn/course/external/view/elearning/345/introduction-to-aws-ground-station,1h 10m,5.0,Free,Fundamental,"This course provides an overview of AWS Ground Station, a service that enables you to connect satellites in space to the AWS Cloud. AWS Ground Station makes satellite communications more manageable and less expensive, providing direct access to AWS compute and storage, resulting in reduced processing time.",AWS
AWS Managed Services (AMS): Change Management Overview,https://explore.skillbuilder.aws/learn/course/external/view/elearning/337/aws-managed-services-ams-change-management-overview,14h 00m,5.0,Free,Fundamental,"AWS Managed Services (AMS) operates Amazon Web Services (AWS) on customers’ behalf. AMS provides a secure and compliant AWS Landing Zone, a proven enterprise operating model, ongoing cost optimization, and day-to-day infrastructure management. In this course, you will learn how AMS manages requests for change (RFCs).",AWS
Introduction to Amazon SageMaker Ground Truth,https://explore.skillbuilder.aws/learn/course/external/view/elearning/335/introduction-to-amazon-sagemaker-ground-truth,10m 00s,5.0,Free,Fundamental,,AWS
Network Ninja to Cloud Ninja,https://explore.skillbuilder.aws/learn/course/external/view/elearning/328/network-ninja-to-cloud-ninja,30m 00s,5.0,Free,Fundamental,"In this course, we will address questions like ""How does moving to cloud affect me as a network architect/engineer? Is there a place for my skills in the cloud? If there is a place for me, what will I do differently in the cloud? Are there any cool things I can do in the cloud, but can’t do off-cloud?"".",AWS
Amazon DynamoDB Service Introduction,https://explore.skillbuilder.aws/learn/course/external/view/elearning/326/amazon-dynamodb-service-introduction,05m 00s,5.0,Free,Fundamental,,AWS
Exploring the Machine Learning Toolset,https://explore.skillbuilder.aws/learn/course/external/view/elearning/325/exploring-the-machine-learning-toolset,20m 00s,5.0,Free,Fundamental,,AWS
Amazon DynamoDB Service Primer,https://explore.skillbuilder.aws/learn/course/external/view/elearning/324/amazon-dynamodb-service-primer,20m 00s,5.0,Free,Fundamental,"This course introduces you to Amazon DynamoDB and its core features and capabilities. The course describes how this service integrates with other AWS services, introduces important terminology and technology concepts, and includes a demonstration of the service.",AWS
Amazon Neptune Service Primer,https://explore.skillbuilder.aws/learn/course/external/view/elearning/317/amazon-neptune-service-primer,20m 00s,5.0,Free,Fundamental,,AWS
AWS Managed Services (AMS): Access Management,https://explore.skillbuilder.aws/learn/course/external/view/elearning/316/aws-managed-services-ams-access-management,4h 30m,5.0,Free,Fundamental,"AWS Managed Services (AMS) operates Amazon Web Services (AWS) on behalf of customers. AMS provides a secure and compliant AWS Landing Zone, a proven enterprise operating model, ongoing cost optimization, and day-to-day infrastructure management. In this course, you will learn how AMS interacts with your identity provider to grant you access to your resources in AMS.",AWS
Introduction to IoT Device Defender,https://explore.skillbuilder.aws/learn/course/external/view/elearning/310/introduction-to-iot-device-defender,20m 00s,5.0,Free,Fundamental,"This course in an introduction to AWS IoT Device Defender, a fully managed service that helps you secure your fleet of IoT devices. In this course, you will learn about the features, benefits, and use cases of the service and get a demonstration of AWS IoT Device Defender at work.",AWS
Machine Learning for Leaders,https://explore.skillbuilder.aws/learn/course/external/view/elearning/309/machine-learning-for-leaders,1h 10m,5.0,Free,Fundamental,"If you're a business leader, machine learning can help your teams maximize project results and gain critical insight into your business or customer needs. Learn how in this course.",AWS
Introduction to Amazon Elastic Inference,https://explore.skillbuilder.aws/learn/course/external/view/elearning/303/introduction-to-amazon-elastic-inference,10m 00s,5.0,Free,Fundamental,,AWS
The Machine Learning Process,https://explore.skillbuilder.aws/learn/course/external/view/elearning/294/the-machine-learning-process,1h 00m,5.0,Free,Fundamental,"This course introduces you to machine learning (ML) by walking you through key phases of the typical ML pipeline, such as problem framing, data cleaning, data visualization and analysis, feature engineering, and model training and evaluation. We will ground the key concepts and processes introduced to you throughout the pipeline in a use case that took place right here at Amazon. Throughout the session, you will also be introduced to The session also introduces different types of ML problems and the various categories of ML algorithms available to you. By the end of this session, our goal is to provide you with a conceptual understanding of the phases of the ML pipeline and an increased familiarity with related key terms and definitions.",AWS
Introduction to Amazon SageMaker Neo,https://explore.skillbuilder.aws/learn/course/external/view/elearning/293/introduction-to-amazon-sagemaker-neo,10m 00s,5.0,Free,Fundamental,,AWS
Introduction to Amazon Comprehend Medical,https://explore.skillbuilder.aws/learn/course/external/view/elearning/288/introduction-to-amazon-comprehend-medical,1h 10m,5.0,Free,Fundamental,,AWS
Amazon RDS Service Primer,https://explore.skillbuilder.aws/learn/course/external/view/elearning/287/amazon-rds-service-primer,20m 00s,5.0,Free,Fundamental,,AWS
AWS Managed Services Console Walkthrough,https://explore.skillbuilder.aws/learn/course/external/view/elearning/286/aws-managed-services-console-walkthrough,15m 00s,5.0,Free,Fundamental,"AWS Managed Services (AMS) provides ongoing management of customers’ AWS infrastructure so they can focus on their applications. In this introductory video, you learn about the AMS console, and how to use the AMS console dashboard and some of its basic features.",AWS
IoT Microcontrollers: Onboarding a Raspberry Pi using Raspbian,https://explore.skillbuilder.aws/learn/course/external/view/elearning/285/iot-microcontrollers-onboarding-a-raspberry-pi-using-raspbian,4h 20m,5.0,Free,Fundamental,This video will step through the process of onboarding a Raspberry Pi r3 B+ and enabling data to flow into AWS IoT Core.,AWS
Amazon Redshift Service Introduction,https://explore.skillbuilder.aws/learn/course/external/view/elearning/283/amazon-redshift-service-introduction,05m 00s,5.0,Free,Fundamental,,AWS
Amazon ElastiCache Service Introduction,https://explore.skillbuilder.aws/learn/course/external/view/elearning/281/amazon-elasticache-service-introduction,05m 00s,5.0,Free,Fundamental,"This course introduces you to Amazon ElastiCache, the service that provides an in-memory database for AWS customers. This course introduces you to the service and its core features and capabilities.",AWS
Amazon DocumentDB Service Primer,https://explore.skillbuilder.aws/learn/course/external/view/elearning/278/amazon-documentdb-service-primer,20m 00s,5.0,Free,Fundamental,"This course introduces you to Amazon DocumentDB (with MongoDB compatibility), a fast, scalable, highly available, and fully managed document database service that supports MongoDB workloads. As a document database, Amazon DocumentDB makes it easy to store, query, and index JSON data.",AWS
AWS Managed Services (AMS): Patch Management Overview,https://explore.skillbuilder.aws/learn/course/external/view/elearning/277/aws-managed-services-ams-patch-management-overview,10h 00m,5.0,Free,Fundamental,"AWS Managed Services (AMS) operates Amazon Web Services (AWS) on the customers’ behalf. AMS provides a secure and compliant AWS Landing Zone, a proven enterprise operating model, ongoing cost optimization, and day-to-day infrastructure management. In this course, you will learn about the AMS patch management process and how to set up a patch maintenance window using tags.",AWS
Introduction to Amazon CloudWatch Logs Insights,https://explore.skillbuilder.aws/learn/course/external/view/elearning/265/introduction-to-amazon-cloudwatch-logs-insights,13m 00s,5.0,Free,Fundamental,"Amazon CloudWatch Logs Insights provides fully managed, highly scalable log analytics capabilities in Amazon CloudWatch. You can use it to search, analyze, and visualize your logs, to understand and improve your applications, and to resolve operational issues more effectively. The service is fully integrated with Amazon CloudWatch, so you can manage and analyze your logs in a single place. This course introduces you to the service’s features and query syntax, and includes a demo using common querying scenarios.",AWS
Introduction to AWS Marketplace - Machine Learning Category,https://explore.skillbuilder.aws/learn/course/external/view/elearning/264/introduction-to-aws-marketplace-machine-learning-category,10m 00s,5.0,Free,Fundamental,"AWS Marketplace now provides over 100 curated machine learning algorithms and model packages. These models can help you avoid the undifferentiated heavy lifting involved in creating a model or algorithm from scratch. This video reviews the benefits of this new addition to the AWS Marketplace, such as selling your own algorithms to other data scientists. We’ll also give a quick demo to show you how easy it is to get started.",AWS
Deploying and Scaling Applications with Amazon Lightsail,https://explore.skillbuilder.aws/learn/course/external/view/elearning/262/deploying-and-scaling-applications-with-amazon-lightsail,1h 30m,5.0,Free,Fundamental,"We have updated this course on December 8, 2022 to correct a problem that was impacting course completion. If you are enrolled in the course and have not completed it, your progress may be impacted. We apologize for any inconvenience this may cause.",AWS
Introduction to Amazon Polly,https://explore.skillbuilder.aws/learn/course/external/view/elearning/259/introduction-to-amazon-polly,10m 00s,5.0,Free,Fundamental,,AWS
Introduction to AWS Batch,https://explore.skillbuilder.aws/learn/course/external/view/elearning/258/introduction-to-aws-batch,15m 00s,5.0,Free,Fundamental,"In this course, we discuss AWS Batch, which is a fully managed batching process service by Amazon.  We also cover the theory of operations behind AWS Batch, and we help you get familiar with its concepts. At the end of this course, we walk through a demonstration of AWS Batch.",AWS
Instance Isolation with Elastic Network Interfaces,https://explore.skillbuilder.aws/learn/course/external/view/elearning/257/instance-isolation-with-elastic-network-interfaces,1h 10m,5.0,Free,Fundamental,"This is an introductory course on how to isolate your AWS instances with elastic network interfaces. In this course, we discuss an approach to managing the forensics of your system in AWS. We also review how you can manage the isolation of your compromised instances for security and forensics purposes by using network interfaces in conjunction with security groups and permissions.",AWS
AWS Mobile Service Overview,https://explore.skillbuilder.aws/learn/course/external/view/elearning/256/aws-mobile-service-overview,05m 00s,5.0,Free,Fundamental,"This course provides an overview of the current state of the mobile industry and covers the advantages of building mobile applications. Mobile Application Development on AWS is highly integrated with several other AWS services, makes it easy to build backend services, and provides operational excellence for mobile applications.",AWS
Introduction to AWS Service Catalog,https://explore.skillbuilder.aws/learn/course/external/view/elearning/255/introduction-to-aws-service-catalog,10m 00s,5.0,Free,Fundamental,"This course is an introduction to AWS Service Catalog, the AWS service that helps you create and manage catalogs of IT services that are approved for use on AWS. In this course, we will walk through how the service is used and the user types that can access the service. Benefits, best practices and use cases will also be provided.",AWS
Introduction to AWS Management Console,https://explore.skillbuilder.aws/learn/course/external/view/elearning/253/introduction-to-aws-management-console,20m 00s,5.0,Free,Fundamental,"The AWS Management Console is the web-based user interface that allows you to access and manage AWS services. This introductory course will provide you with an overview of the AWS Management Console by walking you through the navigation of the console, its key features and how to get started using it. The course will also walk you through a demonstration of the AWS Management Console to give you a better understanding of how to log into your AWS account, switch regions, view grouped resources and edit tags and reviews.",AWS
Introduction to AWS Marketplace,https://explore.skillbuilder.aws/learn/course/external/view/elearning/252/introduction-to-aws-marketplace,11m 00s,5.0,Free,Fundamental,"This course is an introduction to AWS Marketplace – the online store that helps you discover, purchase, migrate and immediately start using the software and services you need to build products and run your businesses. Throughout this course, we will cover how AWS Marketplace works, as well as the benefits to using the service. An overview of some use cases for AWS Marketplace will also be provided.",AWS
Introduction to Amazon Translate,https://explore.skillbuilder.aws/learn/course/external/view/elearning/251/introduction-to-amazon-translate,09m 00s,5.0,Free,Fundamental,,AWS
Introduction to Amazon Lex,https://explore.skillbuilder.aws/learn/course/external/view/elearning/249/introduction-to-amazon-lex,10m 00s,5.0,Free,Fundamental,"Amazon Lex is a service for building conversational interfaces into any application using voice and text. This course introduces you to the service, including how to create a bot and deploy it to different chat services. We also review use cases for the service.",AWS
Introduction to AWS Device Farm,https://explore.skillbuilder.aws/learn/course/external/view/elearning/248/introduction-to-aws-device-farm,2h 10m,5.0,Free,Fundamental,"AWS Device Farm is an app testing service that lets you test and interact with your Android, iOS, and web apps on many devices at once, or reproduce issues on a device in real time. In this course, we will introduce you to this service. We will go over what AWS Device Farm actually is, how it works and the benefits of using the service. A brief highlight of some potential use cases will also be included.",AWS
Introduction to Amazon Rekognition,https://explore.skillbuilder.aws/learn/course/external/view/elearning/247/introduction-to-amazon-rekognition,1h 10m,5.0,Free,Fundamental,,AWS
Introduction to Amazon Mechanical Turk,https://explore.skillbuilder.aws/learn/course/external/view/elearning/245/introduction-to-amazon-mechanical-turk,07m 00s,5.0,Free,Fundamental,,AWS
AWS Marketplace Overview,https://explore.skillbuilder.aws/learn/course/external/view/elearning/244/aws-marketplace-overview,1h 10m,4.0,Free,Fundamental,"This course introduces AWS Marketplace which includes 35 categories that cover various phases of the cloud journey.  AWS Marketplace provides a place to find, buy, deploy, and manage 3rd party software that runs on AWS.",AWS
Introduction to AWS Mobile Hub,https://explore.skillbuilder.aws/learn/course/external/view/elearning/243/introduction-to-aws-mobile-hub,10m 00s,5.0,Free,Fundamental,"AWS Mobile Hub provides a range of services to help you develop mobile apps that can scale to hundreds of millions of users, and reach global audiences. In this introductory video, we will dive deeper into this service by discussing some of the key concepts and features related to the service such as user sign-in, data storage, cloud logic and more. We will also discuss the supported SDKs and an example architecture for AWS Mobile Hub.",AWS
Introduction to Amazon EC2 Systems Manager,https://explore.skillbuilder.aws/learn/course/external/view/elearning/241/introduction-to-amazon-ec2-systems-manager,10m 00s,5.0,Free,Fundamental,"This is an introductory course on Amazon EC2 Systems Manager, a management service that helps you automatically collect software inventory, apply OS patches, create system images, and configure Windows and Linux operating systems. In this course, we review the service’s features, going into depth on patch manager, automation and parameter store. The course includes use cases, too.",AWS
Introduction to Amazon SageMaker,https://explore.skillbuilder.aws/learn/course/external/view/elearning/240/introduction-to-amazon-sagemaker,13m 00s,5.0,Free,Fundamental,"Amazon SageMaker is a fully-managed service that enables data scientists and developers to quickly and easily build, train, and deploy machine learning models. In this introductory course, we cover an overview of Amazon SageMaker, and look specifically at the service’s three main components, related to notebooks, training, and hosting.",AWS
AWS Messaging Services Overview,https://explore.skillbuilder.aws/learn/course/external/view/elearning/239/aws-messaging-services-overview,05m 00s,5.0,Free,Fundamental,"This course introduces AWS Messaging services which enable the building of scalable, loosely coupled, and highly reliable applications. AWS Messaging services can be integrated with a growing range of AWS services to address a variety of different use cases.",AWS
Introduction to Dedicated Instances,https://explore.skillbuilder.aws/learn/course/external/view/elearning/238/introduction-to-dedicated-instances,15m 00s,5.0,Free,Fundamental,"This video will introduce you to the pros and cons of choosing dedicated instances in AWS. We review instance types and how the AWS system is built to prevent over subscription to your instances, with processes such as bursting.",AWS
AWS IoT: Visual Walkthrough,https://explore.skillbuilder.aws/learn/course/external/view/elearning/236/aws-iot-visual-walkthrough,1h 10m,4.0,Free,Fundamental,"In this course, we discuss how the AWS IoT service helps mitigate the challenges of developing and managing IoT devices. We review the core components and concepts of the AWS IoT service, including the message broker, registry, device shadow, security, and rules engine.",AWS
Introduction to AWS Trusted Advisor,https://explore.skillbuilder.aws/learn/course/external/view/elearning/234/introduction-to-aws-trusted-advisor,10m 00s,5.0,Free,Fundamental,"This course is an introduction to AWS Trusted Advisor, the AWS service that provides real-time guidance to help you provision your resources following AWS best practices. In this course, we will walk through a case study that highlights the usage of the service, and we give you a demonstration of the service.",AWS
Introduction to Amazon Elastic Container Service,https://explore.skillbuilder.aws/learn/course/external/view/elearning/233/introduction-to-amazon-elastic-container-service,10m 00s,5.0,Free,Fundamental,"In this course, you will be introduced to Amazon Elastic Container Service or Amazon ECS – the AWS service that helps you run containerized applications in production. The course will begin with a quick review of containers and then will dive into the features and benefits of using Amazon ECS. A demonstration of the service and highlights of different Amazon ECS use cases will also be covered.",AWS
Introduction to Amazon API Gateway,https://explore.skillbuilder.aws/learn/course/external/view/elearning/232/introduction-to-amazon-api-gateway,10m 00s,5.0,Free,Fundamental,"Amazon API Gateway is a fully managed service that makes it easy for you to create, publish, maintain, monitor, and secure APIs at any scale. This course will introduce you to this service and walk you through several use cases and important features offered with Amazon API Gateway. The course will also include a demonstration of how to define a resource and methods on that resource, and how to deploy the resource to an Amazon API Gateway stage.",AWS
Introduction to AWS IoT Device Management,https://explore.skillbuilder.aws/learn/course/external/view/elearning/231/introduction-to-aws-iot-device-management,1h 10m,5.0,Free,Fundamental,,AWS
Introduction to Amazon Pinpoint,https://explore.skillbuilder.aws/learn/course/external/view/elearning/230/introduction-to-amazon-pinpoint,10m 00s,4.0,Free,Fundamental,"In this course, you will be introduced to Amazon Pinpoint, the AWS mobile service that helps you understand users, target audiences, and message and engage with your customers. Throughout the course, you will learn about the main concepts underlying the service, as well as the service’s capabilities and features.",AWS
Introduction to Amazon WorkDocs,https://explore.skillbuilder.aws/learn/course/external/view/elearning/229/introduction-to-amazon-workdocs,10m 00s,5.0,Free,Fundamental,"In this course, you will be introduced to Amazon WorkDocs, a fully managed, secure enterprise storage and sharing service with strong administrative controls and feedback capabilities that improve user productivity. We cover the service’s file sharing, accessibility, and collaborative capabilities, and review several use cases.",AWS
AWS Application Services Overview,https://explore.skillbuilder.aws/learn/course/external/view/elearning/228/aws-application-services-overview,05m 00s,5.0,Free,Fundamental,,AWS
