Course Title,Course URL,Duration,Rating,Cost,Level,Description,Platform
AWS Skills Centers: Becoming a Cloud Practitioner - Mini-Quiz Review,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14704/aws-skills-centers-becoming-a-cloud-practitioner-mini-quiz-review,20m 00s,5.0,Free,Fundamental,Fundamental,AWS
AWS Skills Centers: Becoming a Cloud Practitioner - Full-Quiz Review,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14703/aws-skills-centers-becoming-a-cloud-practitioner-full-quiz-review,2h 00m,5.0,Free,Fundamental,Fundamental,AWS
Getting Started with AWS Security Hub,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14697/getting-started-with-aws-security-hub,1h 00m,5.0,Free,Fundamental,"AWS Security Hub is a cloud security posture management service you can use to perform security best practice checks, aggregate alerts, and automate remediation. With this digital course, you can explore architecture, key features, pricing, and use cases.",AWS
Introduction to AWS Resilience Hub,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14679/introduction-to-aws-resilience-hub,30m 00s,5.0,Free,Fundamental,"This course introduces AWS Resilience Hub, an application-focused service. It provides a hub—a central place—for users to define, validate, and track the resilience of their Amazon Web Service (AWS) applications.",AWS
Getting Started with Application Load Balancer,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14631/getting-started-with-application-load-balancer,1h 00m,5.0,Free,Fundamental,"Amazon Application Load Balancer are deployed to provide scale, performance and resiliency for web application deployed on the cloud. Application Load Balancer distributes incoming application traffic at the layer 7 of OSI model, across multiple targets such as instances, containers and IP addresses, in one or more Availability Zones.",AWS
Getting Started with Amazon ElastiCache,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14572/getting-started-with-amazon-elasticache,1h 00m,5.0,Free,Fundamental,"This course is scheduled to be updated on Friday, December 30, 2022 at which time your progress in the course will be disrupted. If you have completed the course prior to that date, your progress will not be impacted.",AWS
Basics of AWS Managed Services (AMS),https://explore.skillbuilder.aws/learn/course/external/view/elearning/14507/basics-of-aws-managed-services-ams,20m 00s,5.0,Free,Fundamental,"Learn about AWS Managed Services (AMS) and how these services can support organizations that want to operate at scale in the cloud. This course reviews the basics of AMS, the business and technical challenges AMS can help solve, and which organizations may be a good fit for these services.",AWS
Getting Started with Amazon Timestream,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14501/getting-started-with-amazon-timestream,1h 00m,5.0,Free,Fundamental,,AWS
Getting Started with Gateway Load Balancer,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14408/getting-started-with-gateway-load-balancer,30m 00s,4.0,Free,Fundamental,,AWS
Getting Started with Amazon ECR,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14289/getting-started-with-amazon-ecr,30m 00s,5.0,Free,Fundamental,"With Amazon Elastic Container Registry (Amazon ECR), you can store, share, and deploy your container software anywhere. Amazon ECR is a fully managed container registry offering high-performance hosting, so you can reliably deploy application images and artifacts anywhere.",AWS
Getting Started with Amazon EKS Anywhere,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14268/getting-started-with-amazon-eks-anywhere,30m 00s,4.0,Free,Fundamental,,AWS
Getting Started with Migration Hub Refactor Spaces,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14208/getting-started-with-migration-hub-refactor-spaces,1h 00m,5.0,Free,Fundamental,Are you ready to fast-track application refactoring? AWS Migration Hub Refactor Spaces is the new starting point for incremental app refactoring. Refactor Spaces can help reduce the business risk of evolving applications into microservices or extending existing applications with new features written in microservices.,AWS
Getting Started with Amazon Neptune,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14165/getting-started-with-amazon-neptune,1h 00m,5.0,Free,Fundamental,"Amazon Neptune is a fully managed graph database service that lets you build and run graph applications with highly connected datasets without worrying about hardware provisioning, software patching, setup, configuration, or backups.",AWS
Getting Started with Amazon Detective,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14077/getting-started-with-amazon-detective,1h 00m,5.0,Free,Fundamental,"We have updated this course on October 21st, 2022 to correct a problem that was impacting course completion. If you are enrolled in the course and have not completed it, your progress may be impacted. We apologize for any inconvenience this may cause.",AWS
Getting Started with Amazon Keyspaces,https://explore.skillbuilder.aws/learn/course/external/view/elearning/13688/getting-started-with-amazon-keyspaces,1h 00m,5.0,Free,Fundamental,"Amazon Keyspaces (for Apache Cassandra) is a serverless database that can help you manage large, wide-column datastores. It offers single-digit millisecond read/write performance at scale. You can migrate your on-premises Cassandra workloads to Amazon Keyspaces using the same Cassandra Query Language (CQL) and developer tools you use today.",AWS
Getting Started with Amazon Redshift,https://explore.skillbuilder.aws/learn/course/external/view/elearning/13655/getting-started-with-amazon-redshift,1h 00m,5.0,Free,Fundamental,"In this course, you will learn the benefits, typical use cases, and technical concepts of Amazon Redshift. You can also try the service through a demonstration using the AWS Management Console. The cloud data warehouse service integrates with data lakes based on Amazon Simple Storage Service (Amazon S3). It also integrates with relational database services such as Amazon Relational Database Service (Amazon RDS) for PostgreSQL, Amazon Aurora PostgreSQL-Compatible Edition, Amazon RDS for MySQL, and Amazon Aurora MySQL-Compatible Edition. Amazon Redshift supports building and using machine learning (ML) models using familiar SQL commands, thereby reducing the skills needed to take advantage of ML.",AWS
Automatically Detect and Mitigate Account Compromise Issues,https://explore.skillbuilder.aws/learn/course/external/view/elearning/13654/automatically-detect-and-mitigate-account-compromise-issues,30m 00s,4.0,Free,Fundamental,,AWS
Getting Started with Amazon ECS,https://explore.skillbuilder.aws/learn/course/external/view/elearning/13597/getting-started-with-amazon-ecs,30m 00s,5.0,Free,Fundamental,"With Amazon Elastic Container Service (Amazon ECS), you can run highly secure, reliable, and scalable containers. In this course, you will learn the benefits and technical concepts of Amazon ECS. If you are new to the service, you will learn how to start with Amazon ECS through a demonstration using the AWS Management Console. You will learn about the native architecture and how the built-in features can help you deploy, manage, and scale containerized applications.",AWS
Introduction to Building with AWS Databases,https://explore.skillbuilder.aws/learn/course/external/view/elearning/13585/introduction-to-building-with-aws-databases,3h 00m,5.0,Free,Fundamental,"This self-paced digital course explores the various databases that Amazon Web Services (AWS) offers and helps you understand how each of them solve unique business problems. It introduces you to AWS recommended best practices when designing solutions with AWS databases, and common tools for data migration. This course is designed to help you learn the fundamentals of choosing the right database to support your use case.",AWS
Getting Started with Amazon GuardDuty,https://explore.skillbuilder.aws/learn/course/external/view/elearning/13518/getting-started-with-amazon-guardduty,1h 00m,5.0,Free,Fundamental,"Amazon GuardDuty provides visibility into security threats to help you identify and remediate anomalous or suspicious activities. This course will provide you with a fundamental understanding of the purpose, benefits, architecture, pricing philosophy, and common use cases of Amazon GuardDuty. The course also explores how the service is implemented in an AWS environment with demonstration of basic setup and usage of the service.",AWS
Getting Started with AWS Fargate,https://explore.skillbuilder.aws/learn/course/external/view/elearning/13380/getting-started-with-aws-fargate,30m 00s,5.0,Free,Fundamental,,AWS
Threat Modeling the Right Way for Builders Workshop,https://explore.skillbuilder.aws/learn/course/external/view/elearning/13274/threat-modeling-the-right-way-for-builders-workshop,3h 00m,5.0,Free,Fundamental,"This workshop introduces you to some of the background of threat modeling and why to do it, as well as some of the tools and techniques for modeling systems, identifying threats, and selecting mitigations. The workshop guides you through the process of creating a system model and corresponding threat model. Then you assess the usefulness of these models. Each exercise has step-by-step instructions and you can use the associated participant workbook as you progress through the workshop.",AWS
Optimizing your FinOps Strategy with AWS,https://explore.skillbuilder.aws/learn/course/external/view/elearning/13231/optimizing-your-finops-strategy-with-aws,1h 00m,5.0,Free,Fundamental,"In this course, you will learn how to take advantage of the cloud and evaluate scenarios for a full or hybrid move to a cloud solution. You will review cloud financial and operational aspects, including procurement and deployment. You will also learn how to scale cloud efficiently on Amazon Web Services (AWS) and how to measure results.",AWS
Selecting your Data Migration Strategy with AWS,https://explore.skillbuilder.aws/learn/course/external/view/elearning/13209/selecting-your-data-migration-strategy-with-aws,30m 00s,5.0,Free,Fundamental,"Are you an architect or storage administrator who is interested in migrating your storage implementation to the cloud? Do you want to understand how different data types your organization uses might impact your migration decisions? If so, then this course is for you!",AWS
Getting Started with AWS Systems Manager,https://explore.skillbuilder.aws/learn/course/external/view/elearning/13045/getting-started-with-aws-systems-manager,1h 00m,5.0,Free,Fundamental,AWS Systems Manager is a secure end-to-end management solution for hybrid cloud environments. It helps to simplify resource and application management and shortens the time it takes to detect and resolve operational problems. This Getting Started course provides an overview of the core features and functionality of Systems Manager to help give you an introductory understanding of the services it provides.,AWS
AWS Cloud Economics for Startups,https://explore.skillbuilder.aws/learn/course/external/view/elearning/12954/aws-cloud-economics-for-startups,1h 00m,5.0,Free,Fundamental,"In this course, you will learn about the advantages of using Amazon Web Services (AWS) for your startup. You will recognize similarities of cloud adoption through use cases of other real-world AWS startup customers, while shaping your own particular journey.",AWS
Recorded Webinar: Cloud Essentials for Everyone,https://explore.skillbuilder.aws/learn/course/external/view/elearning/12928/recorded-webinar-cloud-essentials-for-everyone,1h 30m,5.0,Free,Fundamental,Cloud Essentials for Everyone is a recorded webinar intended to introduce the six general benefits of cloud computing to non-technical and technical audiences. It uses a story telling approach to point out challenges with IT systems hosted on-premise and explains how cloud computing helps top overcome these.,AWS
Getting Started with Network Load Balancer (NLB),https://explore.skillbuilder.aws/learn/course/external/view/elearning/12808/getting-started-with-network-load-balancer-nlb,2h 00m,5.0,Free,Fundamental,"In this course, you will learn about the service benefits, typical use cases, and technical concepts of Network Load Balancer. The load balancing service functions at the fourth layer of the Open Systems Interconnection (OSI) model. It distributes incoming TCP/UDP traffic across multiple targets such as Amazon Elastic Compute Cloud (Amazon EC2) instances, containers, and IP addresses. NLB monitors the health of the targets using health checks and routes traffic only to healthy targets. NLB maintains a single static IP address per Availability Zone and scales as incoming traffic changes, handling up to millions of requests per second.",AWS
Getting Started with AWS Config,https://explore.skillbuilder.aws/learn/course/external/view/elearning/12609/getting-started-with-aws-config,1h 30m,5.0,Free,Fundamental,"AWS Config monitors and records your Amazon Web Services (AWS) resource configurations so you can automate the evaluation of recorded configurations against desired configurations. With AWS Config, you can examine detailed resource configuration histories and determine your overall compliance against the configurations specified in your internal guidelines.",AWS
Amazon EC2 Basics,https://explore.skillbuilder.aws/learn/course/external/view/elearning/12471/amazon-ec2-basics,50m 00s,5.0,Free,Fundamental,"Compute services are the backbone that power most web-based applications. They are the foundation that many other Amazon Web Services (AWS) offerings are built upon. In this course, you will explore the different families of Amazon Elastic Compute Cloud (Amazon EC2) instances and identify the target workloads for each family. You will also learn about different instance types and how to select the best instance type to maximize price and performance.",AWS
AWS Networking Basics,https://explore.skillbuilder.aws/learn/course/external/view/elearning/12439/aws-networking-basics,2h 00m,5.0,Free,Fundamental,"This course focuses on an introduction to AWS Networking. As a fundamental level course, it will provide an overview of available network services and common use cases using these services.",AWS
Getting Started with Amazon Personalize,https://explore.skillbuilder.aws/learn/course/external/view/elearning/12437/getting-started-with-amazon-personalize,1h 30m,5.0,Free,Fundamental,"In this course, you will learn how to use Amazon Personalize to build a personalized product experience for your customers. You will learn the basic terminology, important benefits and features, typical use cases, and costs. You will review the solution architecture you can use to build your own recommendation engines and personalization solutions. Through a guided tutorial, you will also build a movie recommendation engine solution in your own Amazon Web Services (AWS) account that you can further adapt to your use case.",AWS
Getting Started with Amazon RDS for MariaDB,https://explore.skillbuilder.aws/learn/course/external/view/elearning/12331/getting-started-with-amazon-rds-for-mariadb,1h 00m,5.0,Free,Fundamental,"With Amazon Relational Database Service (Amazon RDS) for MariaDB, you can run the MariaDB open-source database engine on the Amazon Web Services (AWS) relational database service, Amazon RDS.",AWS
Amazon Connect: Introduction to the Administrative Interface,https://explore.skillbuilder.aws/learn/course/external/view/elearning/12328/amazon-connect-introduction-to-the-administrative-interface,1h 30m,5.0,Free,Fundamental,"This course is part of the Amazon Connect curriculum. The course is designed for supervisors and technical roles to get familiar with the administrative interface. The course covers basic navigation and how to view and publish reports and analytics. You will explore the three main reporting options: real-time metrics, historical metrics, and login/logout reporting used to review agent-customer communication. Then you will work with dashboards, contact search records, and create and publish reports.",AWS
Amazon Connect: Creating and Managing Amazon Connect Instances,https://explore.skillbuilder.aws/learn/course/external/view/elearning/12304/amazon-connect-creating-and-managing-amazon-connect-instances,1h 00m,5.0,Free,Fundamental,"This course is a part of the Amazon Connect curriculum. In this course, you will walk through how to create and manage an Amazon Connect instance that is customized to your contact center’s needs. The course includes the various steps and features involved with the implementation process, which can help you adjust your existing Amazon Connect instance as your company grows.",AWS
Introduction to Amazon Connect and the Connect Control Panel (CCP),https://explore.skillbuilder.aws/learn/course/external/view/elearning/12303/introduction-to-amazon-connect-and-the-connect-control-panel-ccp,45m 00s,5.0,Free,Fundamental,"This is the introductory course of the Amazon Connect curriculum. We discuss the fundamental capabilities of Amazon Connect. This course describes the tools that simplify working with an omnichannel contact center. We introduce the roles that are integral to an Amazon Connect implementation, and we follow a contact center agent’s daily activity with helping customers.",AWS
Getting Started with Amazon DocumentDB (with MongoDB compatibility),https://explore.skillbuilder.aws/learn/course/external/view/elearning/12290/getting-started-with-amazon-documentdb-with-mongodb-compatibility,1h 00m,5.0,Free,Fundamental,"Using Amazon DocumentDB (with MongoDB compatibility), a document database service, you can store and scale JavaScript Object Notation (JSON) workloads. You don’t need to worry about running cluster management software, configuring backups, or monitoring production workloads. You can also migrate self-managed MongoDB-compatible databases to Amazon DocumentDB because it is fully managed.",AWS
Amazon FSx for NetApp ONTAP Primer,https://explore.skillbuilder.aws/learn/course/external/view/elearning/12238/amazon-fsx-for-netapp-ontap-primer,1h 15m,5.0,Free,Fundamental,"We have updated this course on March 6th 2023 to correct a problem that was impacting course completion. If you are enrolled in the course and have not completed it, your progress may be impacted. We apologize for any inconvenience this may cause.",AWS
SAP on AWS (Technical),https://explore.skillbuilder.aws/learn/course/external/view/elearning/12164/sap-on-aws-technical,4h 00m,5.0,Free,Fundamental,"In this course, you learn the technical fundamentals and key architectural patterns for running SAP on AWS. You learn how to size SAP on AWS to meet performance targets; perform basic system operations for SAP on AWS including backups, monitoring, and automated deployments; and make architectural decisions based on AWS-recommended best practices.",AWS
Getting Started with AWS IoT,https://explore.skillbuilder.aws/learn/course/external/view/elearning/11841/getting-started-with-aws-iot,35m 00s,5.0,Free,Fundamental,"With AWS Internet of Things (IoT), you can manage billions of devices and connect them to each other and the cloud. You are able to collect, store, process, and analyze device data for a variety of use cases. This course introduces you to AWS IoT, AWS IoT use cases, and the benefits of AWS IoT. You learn about AWS IoT key concepts and service types and examine the AWS IoT core services and their functions. A typical use case scenario helps you to apply the concepts learned throughout the course.",AWS
Building a Machine Learning Ready Organization,https://explore.skillbuilder.aws/learn/course/external/view/elearning/11323/building-a-machine-learning-ready-organization,30m 00s,5.0,Free,Fundamental,This course provides components needed for successful organizational adoption of machine learning (ML).      •    Course level: Fundamental      •    Duration: 30 minutes,AWS
Introduction to Machine Learning: Art of the Possible,https://explore.skillbuilder.aws/learn/course/external/view/elearning/11322/introduction-to-machine-learning-art-of-the-possible,30m 00s,5.0,Free,Fundamental,This digital course is designed to help business decision makers understand the fundamentals of machine learning (ML).,AWS
Getting Started with Amazon Location Service,https://explore.skillbuilder.aws/learn/course/external/view/elearning/11215/getting-started-with-amazon-location-service,20m 00s,5.0,Free,Fundamental,"This course is scheduled to be updated on Friday, March 10, 2023 at which time your progress in the course will be disrupted. If you have completed the course prior to that date, your progress will not be impacted.",AWS
AWS Cloud for Finance Professionals,https://explore.skillbuilder.aws/learn/course/external/view/elearning/10803/aws-cloud-for-finance-professionals,17h 00m,5.0,Free,Fundamental,"In this seventeen-course curriculum, you learn about cloud business value and how to build a business case for a workload migration. You also discover Cloud Financial Management (CFM) best practices, including how to measure, optimize, and plan cloud usage, and how finance teams can innovate with Amazon Web Services (AWS). You learn how to report, monitor, and allocate your cloud costs. You gain technical and pricing-model based cost optimization strategies, find out how to forecast cloud costs, and learn about organizational and governance-based best practices that help drive cost-efficient usage of AWS. You also discover ways to innovate within your finance organization by understanding various solutions available to your firm.",AWS
AWS Elemental Statmux,https://explore.skillbuilder.aws/learn/course/external/view/elearning/10210/aws-elemental-statmux,1h 00m,5.0,Free,Fundamental,"This course provides an overview of the features and functions of AWS Elemental Statmux, a technology used to efficiently combine (or multiplex) multiple encoded video channels (or programs) into a single Multi-Program Transport Stream (MPTS) for delivery over fixed bandwidth infrastructures such as satellite, cable, and terrestrial networks. In this training you will learn how to configure, operate, and monitor statmux workflows using AWS Elemental Conductor, AWS Elemental Live, and AWS Elemental Statmux appliances.",AWS
Getting Started with Amazon MemoryDB for Redis,https://explore.skillbuilder.aws/learn/course/external/view/elearning/10067/getting-started-with-amazon-memorydb-for-redis,1h 00m,5.0,Free,Fundamental,"Amazon MemoryDB for Redis is a Redis-compatible, durable, in-memory database service that can deliver ultra-fast performance.",AWS
AWS re:Post | Guidance for Community Users,https://explore.skillbuilder.aws/learn/course/external/view/elearning/9993/aws-repost-guidance-for-community-users,16h 20m,5.0,Free,Fundamental,"AWS re:Post, a new question-and-answer service, that helps Amazon Web Services (AWS) customers remove technical roadblocks related to designing, developing, deploying, and operating applications on AWS. Throughout this course, you will complete six lessons. You will dive deep into the intricacies of the community through the use of text, demos, and short animated videos.",AWS
