"Course Title","Course URL","Duration","Rating"
"Amazon Simple Storage Service (Amazon S3) Performance Optimization","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1696/amazon-simple-storage-service-amazon-s3-performance-optimization","1h 00m","5.0"
"Section Four: Amazon S3 Storage Management","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1460/section-four-amazon-s3-storage-management","40m 00s","4.0"
"Advanced Architecting on AWS - Online Course Supplement","https://explore.skillbuilder.aws/learn/course/external/view/elearning/1283/advanced-architecting-on-aws-online-course-supplement","2h 00m","5.0"
"Get Connected: Amazon Honeycode APIs and Integrations","https://explore.skillbuilder.aws/learn/course/external/view/elearning/500/get-connected-amazon-honeycode-apis-and-integrations","45m 00s","5.0"
"Deploying Amazon Connect Chat","https://explore.skillbuilder.aws/learn/course/external/view/elearning/492/deploying-amazon-connect-chat","1h 00m","5.0"
"Amazon Connect Best Practices","https://explore.skillbuilder.aws/learn/course/external/view/elearning/490/amazon-connect-best-practices","45m 00s","5.0"
"Building Better Bots Using Amazon Connect","https://explore.skillbuilder.aws/learn/course/external/view/elearning/481/building-better-bots-using-amazon-connect","1h 00m","5.0"
"AWS Systems Manager","https://explore.skillbuilder.aws/learn/course/external/view/elearning/456/aws-systems-manager","3h 00m","4.0"
"Deep Dive into AWS IoT Rules Engine","https://explore.skillbuilder.aws/learn/course/external/view/elearning/437/deep-dive-into-aws-iot-rules-engine","5h 00m","5.0"
"Dive Deep into Amazon Connect Reporting and Metrics","https://explore.skillbuilder.aws/learn/course/external/view/elearning/436/dive-deep-into-amazon-connect-reporting-and-metrics","3h 00m","4.0"
"Amazon Connect: Build a Custom Call Control Panel","https://explore.skillbuilder.aws/learn/course/external/view/elearning/432/amazon-connect-build-a-custom-call-control-panel","1h 00m","5.0"
"Amazon Connect: Troubleshooting with Cloudwatch","https://explore.skillbuilder.aws/learn/course/external/view/elearning/424/amazon-connect-troubleshooting-with-cloudwatch","1h 00m","5.0"
"Seeing Clearly: Computer Vision Theory","https://explore.skillbuilder.aws/learn/course/external/view/elearning/399/seeing-clearly-computer-vision-theory","30m 00s","5.0"
