"Course Title","Course URL","Cost","Duration","Rating"
"Troubleshooting: AWS VPN","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12458/troubleshooting-aws-vpn","Free","1h 00m","4.0"
"AWS for Games Containers Principles","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12370/aws-for-games-containers-principles","Free","3h 55m","5.0"
"Troubleshooting: Amazon API Gateway","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12269/troubleshooting-amazon-api-gateway","Free","1h 00m","5.0"
"Building AWS Solutions: Scale-Out Computing on AWS","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12052/building-aws-solutions-scale-out-computing-on-aws","Free","45m 00s","5.0"
"AWS Backup Primer","https://explore.skillbuilder.aws/learn/course/external/view/elearning/11646/aws-backup-primer","Free","1h 10m","5.0"
"AWS Security Best Practices: Monitoring and Alerting","https://explore.skillbuilder.aws/learn/course/external/view/elearning/11264/aws-security-best-practices-monitoring-and-alerting","Free","2h 00m","5.0"
"AWS Security Best Practices: Computing","https://explore.skillbuilder.aws/learn/course/external/view/elearning/11263/aws-security-best-practices-computing","Free","2h 00m","5.0"
"Designing Blockchain Solutions using Amazon Managed Blockchain","https://explore.skillbuilder.aws/learn/course/external/view/elearning/11257/designing-blockchain-solutions-using-amazon-managed-blockchain","Free","45m 00s","5.0"
"AWS Security Best Practices: Network Infrastructure","https://explore.skillbuilder.aws/learn/course/external/view/elearning/11218/aws-security-best-practices-network-infrastructure","Free","1h 30m","5.0"
"Security Governance at Scale – Technical (Digital)","https://explore.skillbuilder.aws/learn/course/external/view/elearning/11173/security-governance-at-scale-technical-digital","Free","4h 00m","5.0"
"AWS Security Best Practices: Overview","https://explore.skillbuilder.aws/learn/course/external/view/elearning/11172/aws-security-best-practices-overview","Free","1h 35m","5.0"
"AWS Elastic Disaster Recovery - A Technical Introduction","https://explore.skillbuilder.aws/learn/course/external/view/elearning/11123/aws-elastic-disaster-recovery-a-technical-introduction","Free","1h 30m","5.0"
"Troubleshooting: Amazon Elastic Container Service (Amazon ECS)","https://explore.skillbuilder.aws/learn/course/external/view/elearning/11107/troubleshooting-amazon-elastic-container-service-amazon-ecs","Free","30m 00s","5.0"
"Troubleshooting: AWS Lambda","https://explore.skillbuilder.aws/learn/course/external/view/elearning/10771/troubleshooting-aws-lambda","Free","30m 00s","5.0"
"AWS Managed Services (AMS) Accelerate: Resource Tagger Deep Dive","https://explore.skillbuilder.aws/learn/course/external/view/elearning/10582/aws-managed-services-ams-accelerate-resource-tagger-deep-dive","Free","45m 00s","5.0"
"AWS IoT Greengrass: Utilizing Data","https://explore.skillbuilder.aws/learn/course/external/view/elearning/10450/aws-iot-greengrass-utilizing-data","Free","1h 15m","4.0"
"AWS Networking Practical Approaches","https://explore.skillbuilder.aws/learn/course/external/view/elearning/10448/aws-networking-practical-approaches","Free","3h 00m","4.0"
