"Course Title","Course URL","Cost","Duration","Rating"
"AWS DeepRacer: Driven by Reinforcement Learning","https://explore.skillbuilder.aws/learn/course/external/view/elearning/87/aws-deepracer-driven-by-reinforcement-learning","Free","4h 30m","5.0"
"Amazon FSx for Windows File Server Primer","https://explore.skillbuilder.aws/learn/course/external/view/elearning/80/amazon-fsx-for-windows-file-server-primer","Free","1h 00m","5.0"
"Configure and Deploy AWS PrivateLink","https://explore.skillbuilder.aws/learn/course/external/view/elearning/77/configure-and-deploy-aws-privatelink","Free","1h 10m","5.0"
"Planning an AWS Outposts Implementation","https://explore.skillbuilder.aws/learn/course/external/view/elearning/75/planning-an-aws-outposts-implementation","Free","1h 20m","5.0"
"Amazon Elastic File System (Amazon EFS) Primer","https://explore.skillbuilder.aws/learn/course/external/view/elearning/64/amazon-elastic-file-system-amazon-efs-primer","Free","50m 00s","5.0"
"Amazon EKS Primer","https://explore.skillbuilder.aws/learn/course/external/view/elearning/57/amazon-eks-primer","Free","1h 15m","5.0"
"AWS Elemental Live - Advanced","https://explore.skillbuilder.aws/learn/course/external/view/elearning/55/aws-elemental-live-advanced","Free","2h 00m","5.0"
"AWS Lambda Function Security & Defense in Depth","https://explore.skillbuilder.aws/learn/course/external/view/elearning/53/aws-lambda-function-security-defense-in-depth","Free","1h 20m","5.0"
"Exam Readiness: AWS Certified Data Analytics - Specialty","https://explore.skillbuilder.aws/learn/course/external/view/elearning/51/exam-readiness-aws-certified-data-analytics-specialty","Free","3h 30m","5.0"
"AWS Security Fundamentals (Second Edition)","https://explore.skillbuilder.aws/learn/course/external/view/elearning/48/aws-security-fundamentals-second-edition","Free","2h 00m","5.0"
"AWS Snowball Edge Primer","https://explore.skillbuilder.aws/learn/course/external/view/elearning/45/aws-snowball-edge-primer","Free","2h 05m","5.0"
"Configure and Deploy AWS Client VPN","https://explore.skillbuilder.aws/learn/course/external/view/elearning/40/configure-and-deploy-aws-client-vpn","Free","30m 00s","5.0"
"Moving To Managed Databases on AWS","https://explore.skillbuilder.aws/learn/course/external/view/elearning/36/moving-to-managed-databases-on-aws","Free","4h 00m","5.0"
