Course Name,URL,Categories,Short Description,Long Description,Difficulty,Duration,Free Option,Number of Enrolled,Rating,Paid Option,Language,Subtitle Language,Platform,Provider,Image URL
JDK 8 Massive Open and Online Course: Lambdas and Streams Introduction,"https://apexapps.oracle.com/pls/apex/f?p=44785:145:0::::P145_EVENT_ID,P145_PREV_PAGE:4887,143",Computer Science,"Java SE 8 (JDK 8) introduced a fundamentally new way of programming in Java with the introduction of Lambda expressions.
Lambda provides a simple way to pass functionality as an argument to another method, such as what action should be taken when someone…","Java SE 8 (JDK 8) introduced a fundamentally new way of programming in Java with the introduction of Lambda expressions.
Lambda provides a simple way to pass functionality as an argument to another method, such as what action should be taken when someone…",Introductory,0,1,0,4.8,0,English,English,Independent Courses,Oracle,
Mobiles for Development,https://m4d.colfinder.org/,Computer Science,"Mobile devices, phones as well as Tablet computers, have been spreading fast across the globe. Spread of mobile phones in developing countries has been spectacular. More people have access to cell phones today than to clean water.

Mobile communication a…","Mobile devices, phones as well as Tablet computers, have been spreading fast across the globe. Spread of mobile phones in developing countries has been spectacular. More people have access to cell phones today than to clean water.

Mobile communication a…",Introductory,0,1,0,4.39,0,English,English,Independent Courses,Independent Courses,
Textile Fundamentals,https://thefold.marist.edu/textilefundamentals,Computer Science,"Textiles are everywhere, from the apparel you wear to the furniture in your home—this 4-module course will help you understand it from fiber to finishing. The lessons of this course will include: Fibers, Yarns, Woven or Knitted Fabrics, Dyes, Prints and…","Textiles are everywhere, from the apparel you wear to the furniture in your home—this 4-module course will help you understand it from fiber to finishing. The lessons of this course will include: Fibers, Yarns, Woven or Knitted Fabrics, Dyes, Prints and…",Introductory,0,1,0,2.0,0,English,English,Independent Courses,Marist College,
Introduction to Grid Computing,http://mooc.uva.nl/portal,Computer Science,"This course on Grid Computing aims to provide you with an understanding of the key concepts that underlie Grid technology and the role that Grid Computing can play in computationally intensive problems. It also aims to help researchers, regardless of the…","This course on Grid Computing aims to provide you with an understanding of the key concepts that underlie Grid technology and the role that Grid Computing can play in computationally intensive problems. It also aims to help researchers, regardless of the…",Introductory,0,1,0,3.5,0,English,English,Independent Courses,University of Amsterdam,
Digital ASIC Design,https://go.distance.ncsu.edu/digital-asic/,Computer Science,"Digital ASICs (Application Specific Integrated Circuits) are at the core of ALL modern Information Technology. They rely on silicon chip technology to enable society to build complex systems including wireless devices, tablets, computers, network routers…","Digital ASICs (Application Specific Integrated Circuits) are at the core of ALL modern Information Technology. They rely on silicon chip technology to enable society to build complex systems including wireless devices, tablets, computers, network routers…",Introductory,0,1,0,4.39,0,English,English,Independent Courses,North Carolina State University,
Cyber Security Base 2022,https://cybersecuritybase.mooc.fi/,Computer Science,Cyber Security Base is a free course series by University of Helsinki and MOOC.fi in collaboration with F-Secure that focuses on building core knowledge and abilities related to the work of a cyber security professional.,Cyber Security Base is a free course series by University of Helsinki and MOOC.fi in collaboration with F-Secure that focuses on building core knowledge and abilities related to the work of a cyber security professional.,Introductory,1,1,0,5.0,0,English,English,Independent Courses,University of Helsinki,
Human Computer Interaction,http://hcicourse.com/,Computer Science,"An open, online and FREE course for those interested in learning human-centered design skills. A course by Alan Dix, Professor and co-author of the Human-Computer Interaction book.","An open, online and FREE course for those interested in learning human-centered design skills. A course by Alan Dix, Professor and co-author of the Human-Computer Interaction book.",Introductory,0,1,0,5.0,0,English,English,Independent Courses,Independent Courses,
Information Visualization,https://ivmooc.cns.iu.edu/,Computer Science,"This course provides an overview about the state of the art in information visualization. It teaches the process of producing effective visualizations that take the needs of users into account. 
Students will again have the opportunity to collaborate wit…","This course provides an overview about the state of the art in information visualization. It teaches the process of producing effective visualizations that take the needs of users into account. 
Students will again have the opportunity to collaborate wit…",Introductory,1,1,0,4.39,0,English,English,Independent Courses,Indiana University,
Health Data Analytics with Microsoft Excel,https://www.css.edu/graduate/non-degree-seeking/professional-development/massive-open-online-courses/health-data-analytics-with-microsoft-excel.html,Computer Science,Health data analysis involves the process of translating data into information valuable to the support of operational and clinical decision-making. This course is designed to provide participants with hands-on experience in health data analytics using th…,Health data analysis involves the process of translating data into information valuable to the support of operational and clinical decision-making. This course is designed to provide participants with hands-on experience in health data analytics using th…,Introductory,0,1,0,5.0,0,English,English,Independent Courses,The College of St. Scholastica,
Redis for JavaScript Developers,https://university.redis.com/courses/ru102js/,Computer Science,"RU102JS&nbsp;provides a deep dive into Redis for Node.js applications. You can expect to learn how to make connections to Redis, store and retrieve data, and leverage essential Redis features such as sorted sets and streams. It's free and open source.","RU102JS&nbsp;provides a deep dive into Redis for Node.js applications. You can expect to learn how to make connections to Redis, store and retrieve data, and leverage essential Redis features such as sorted sets and streams. It's free and open source.",Introductory,1,1,0,4.39,0,English,English,Independent Courses,Independent Courses,
