Course Name,URL,Categories,Short Description,Long Description,Difficulty,Duration,Free Option,Number of Enrolled,Rating,Paid Option,Language,Subtitle Language,Platform,Provider,Image URL
Automation Testing Engineer Masters Program,https://www.edureka.co/automation-testing-engineer-training?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=814&objPos=13,Computer Science,"Includes 5 Live courses: Selenium, Appium, JMeter and more.","The Automation Testing course helps you optimize your test automation strategies and methodology. You will learn how to perform software testing in all phases of the software life cycle and automation of any web-based application using Selenium. This Automation Testing online course includes training on Continuous Testing in DevOps, Performance Testing using JMeter, and Mobile App Testing using Appium. This program also offers programming courses such as Python Scripting, Ruby on Rails, Ruby with Cucumber, SQL essentials, and Java essentials. Avg. salary earned by Automation Testing course is around $91,178 per annum.",0,2,0,0,4.934782608695652,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Microsoft Azure Cloud Engineer Masters Program,https://www.edureka.co/azure-cloud-engineer-certification-training?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=1073&objPos=14,Computer Science,"Includes 4 Live courses: AZ-104, AZ-204, AZ-303 & AZ-304, AZ-400 and more.","Edureka's Microsoft Azure Master Program for Azure cloud engineer certification will prepare you for three certification exams: AZ-104, which is required to attain Azure Administrator Badge (Associate-level), AZ-204, which is required to attain Azure Developer Badge (Associate-level), AZ-305, which is required to attain Azure Solutions Architect Badge (Expert-level), and AZ-400, which is required to attain Azure DevOps Engineer Badge (Expert-level). You will be able to implement advanced networking configurations, plan authentication and security of the infrastructure, use PaaS solutions and Storage Services to deploy end-to-end cloud solutions.",0,2,0,0,4.934782608695652,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
AWS Masters Program,https://www.edureka.co/aws-cloud-certification-training?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=1683&objPos=15,Computer Science,"Includes 8 courses: AWS Architect, AWS Developer, AWS DevOps and more","Edureka’s AWS Masters Certification Program is designed to meet the industry benchmarks and makes you proficient in architecting and managing cloud solutions, migrating on-premise infrastructure to AWS, developing and maintaining AWS-based applications, and building CI-CD pipelines using AWS. This program focuses on core AWS skills which are indispensable for AWS professionals. AWS Masters program course curriculum has been determined by extensive research on 5000+ job descriptions across the globe to make you a certified AWS professional.",0,2,0,0,4.934782608695652,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Salesforce Training Course: Administrator and App Builder Certification,https://www.edureka.co/salesforce-administrator-and-developer-training?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=1373&objPos=16,Computer Science,"Includes SDFC Data and Security Model, Business Logic/Automation and more.",,0,1,0,33725.0,5.0,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Tableau Certification Training Course,https://www.edureka.co/tableau-certification-training?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=2079&objPos=17,Computer Science,"Includes: Visualization, Calculations, LOD, Dashboards, Stories and More",,0,1,0,47977.0,5.0,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Salesforce CRM Masters Certification Program,https://www.edureka.co/salesforce-architect-certification-course?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=1696&objPos=18,Computer Science,"Includes 3 courses: Salesforce Admin and App Builder, and more","Edureka’s Salesforce CRM Certification Masters Program is designed to meet the industry benchmarks and will help you prepare for the Salesforce Administrator Exam (ADM 201), Platform App Builder (CRT 403), Salesforce Architect Certification, and Salesforce Dev 450 Certification exams. This Salesforce CRM Training Program focuses on core Salesforce CRM skills which are indispensable for Salesforce professionals. Throughout the Masters in Salesforce program, you will learn important concepts such as how to customize your application including page layouts, fields, tabs, create reports, customize applications programmatically using Apex code and Visualforce UI framework along with hands-on demonstrations.",0,2,0,0,4.934782608695652,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
DP 203: Data Engineering on Microsoft Azure,https://www.edureka.co/microsoft-azure-data-engineering-certification-course?qId=54920b0a1b509b32fb5cb4c8449818ba&index_name=prod_search_results_courses&objId=1988&objPos=1,Computer Science,"Includes Azure Storage, Data Factory, Synapse Analytics and many more",,0,1,1,2059.0,5.0,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Cyber Security Course,https://www.edureka.co/cybersecurity-certification-training?qId=54920b0a1b509b32fb5cb4c8449818ba&index_name=prod_search_results_courses&objId=1269&objPos=2,Computer Science,"Includes Cryptography, Computer Security, IdAM, Ethical Hacking and more",,0,1,0,50508.0,5.0,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Business Intelligence Masters Program,https://www.edureka.co/business-intelligence-certification?qId=54920b0a1b509b32fb5cb4c8449818ba&index_name=prod_search_results_courses&objId=482&objPos=3,Computer Science,"Includes 4 live courses: Power BI, Informatica, Tableau and more.","Edureka's Business Intelligence Masters Program makes you proficient in tools and systems used by Business Intelligence Professionals. This Business Intelligence certification course includes in-depth training on Data Warehousing and BI, Power BI, Informatica, and Tableau. The Business Intelligence Course curriculum has been determined by extensive research on 5000+ job descriptions across the globe. If you are willing to start a career in business intelligence. In that case, our Business Intelligence Masters Program will help you mine that data and enhance the decision-making processes throughout your organization.",0,2,0,0,4.934782608695652,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Data Science Training Masters Program,https://www.edureka.co/data-scientist-certification?qId=54920b0a1b509b32fb5cb4c8449818ba&index_name=prod_search_results_courses&objId=584&objPos=4,Computer Science,"Includes 5 Live courses: R/Python, Machine Learning, Spark and more.","Data Science Masters Program makes you proficient in tools and systems used by Data Science Professionals. It includes training in Statistics, Data Science, Python, Apache Spark &amp; Scala, Tensorflow, and Tableau. The Data Science Training curriculum has been determined by extensive research on 5000+ job descriptions across the globe.",0,2,0,0,4.934782608695652,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Python Certification Training Course,https://www.edureka.co/python-programming-certification-training?qId=54920b0a1b509b32fb5cb4c8449818ba&index_name=prod_search_results_courses&objId=1906&objPos=5,Computer Science,"Includes Python Libraries, OOPS, GUI Programming, + 6 more",,0,1,0,42052.0,5.0,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Post Graduate Diploma in Artificial Intelligence Course,https://www.edureka.co/machine-learning-and-ai?qId=54920b0a1b509b32fb5cb4c8449818ba&index_name=prod_search_results_courses&objId=1268&objPos=6,Computer Science,"Includes ML Algorithms, Tensorflow 2.0, NLP, Sequence Learning, and more",,0,2,0,0,4.934782608695652,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
React JS Certification Training Course,https://www.edureka.co/reactjs-redux-certification-training?qId=54920b0a1b509b32fb5cb4c8449818ba&index_name=prod_search_results_courses&objId=884&objPos=7,Computer Science,"Build robust applications using React concepts such as JSX, Redux + 6 more",,0,1,1,10764.0,5.0,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Java Certification Training Course,https://www.edureka.co/java-j2ee-training-course?qId=54920b0a1b509b32fb5cb4c8449818ba&index_name=prod_search_results_courses&objId=44&objPos=8,Computer Science,"Includes Functions, OOP, Servlets, JSP, Hibernate, Spring and many more",,0,1,1,66923.0,4.0,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Data Analytics Masters Program,https://www.edureka.co/data-analyst-certification?qId=54920b0a1b509b32fb5cb4c8449818ba&index_name=prod_search_results_courses&objId=479&objPos=9,Computer Science,"Includes 3 live courses: R, Tableau, Power BI and more.","Edureka Data Analyst Course makes you proficient in tools and systems used by Data Analytics Professionals. It includes in-depth training on Statistics, Data Analytics with R and Tableau. Edureka Data Analytics Master Program curriculum has been determined by extensive research on 5000+ job descriptions across the globe.",0,2,0,0,4.934782608695652,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Certified Ethical Hacking Course - CEH v12,https://www.edureka.co/ceh-ethical-hacking-certification-course?qId=54920b0a1b509b32fb5cb4c8449818ba&index_name=prod_search_results_courses&objId=1982&objPos=10,Computer Science,"Includes Vulnerability Analysis, System Hacking, Cryptography and more.",,0,1,1,9153.0,5.0,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Microservices Certification Training Course,https://www.edureka.co/microservices-architecture-training?qId=54920b0a1b509b32fb5cb4c8449818ba&index_name=prod_search_results_courses&objId=1872&objPos=11,Computer Science,"Develop Microservices based solution including Design, Security, Testing",,0,1,0,12016.0,5.0,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Angular Certification Training Course,https://www.edureka.co/angular-training?qId=54920b0a1b509b32fb5cb4c8449818ba&index_name=prod_search_results_courses&objId=1559&objPos=12,Computer Science,"Includes Angular concepts such as Directives, Services, Routing + 6 more",,0,1,1,20677.0,5.0,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Data Science with Python Certification Course,https://www.edureka.co/data-science-python-certification-course?qId=54920b0a1b509b32fb5cb4c8449818ba&index_name=prod_search_results_courses&objId=1937&objPos=13,Computer Science,"Includes Python, ML, Recommender System, Time Series Analysis & More",,0,1,0,112877.0,5.0,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
ChatGPT Complete Course: Beginners to Advanced,https://www.edureka.co/openai-chatgpt-training-course?qId=54920b0a1b509b32fb5cb4c8449818ba&index_name=prod_search_results_courses&objId=2186&objPos=14,Computer Science,"Includes: NLP, OpenAI API, ChatGPT Use Cases, Deploying ChatGPT and more",,0,1,0,1605.0,5.0,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
