Course Name,URL,Categories,Short Description,Long Description,Difficulty,Duration,Free Option,Number of Enrolled,Rating,Paid Option,Language,Subtitle Language,Platform,Provider,Image URL
Getting Started with AWS Audit Manager,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14905/getting-started-with-aws-audit-manager,"Computer Science , Cloud , AWS ,Cloud Computing","AWS Audit Manager helps you continuously audit your AWS usage and simplify risk and compliance assessment against regulations, internal control frameworks, and industry standards. Audit Manager automates evidence collection to reduce the manual effort of several cross-functional teams that audit activities often require. It can also help you to scale your auditing capabilities in the cloud as your business grows.","AWS Audit Manager helps you continuously audit your AWS usage and simplify risk and compliance assessment against regulations, internal control frameworks, and industry standards. Audit Manager automates evidence collection to reduce the manual effort of several cross-functional teams that audit activities often require. It can also help you to scale your auditing capabilities in the cloud as your business grows.",0,0,1,0,5.0,0,English,English,AWS,AWS Skill Builder,https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fproviders%2Faws-skill-builder-hz.png?auto=format&ixlib=php-3.3.1&s=93a153eaf2cf7abbc130afaa0cc34197
AWS Cloud Economics for Healthcare,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14887/aws-cloud-economics-for-healthcare,"Computer Science , Cloud , AWS ,Cloud Computing","This course provides an overview of Amazon Web Services (AWS) resources that are uniquely available to the healthcare industry. It includes a survey of AWS resources especially applicable to healthcare. The course explores special topics, such as rightsizing instances to particular needs and budget-saving tools to control spend. There is an emphasis on the agility provided by the AWS Cloud and its relevance to healthcare providers as they grow into new markets and opportunities. Finally, this course shares case studies of cloud adoption for healthcare so customers can use the learning experiences of others when shaping their own journey.","This course provides an overview of Amazon Web Services (AWS) resources that are uniquely available to the healthcare industry. It includes a survey of AWS resources especially applicable to healthcare. The course explores special topics, such as rightsizing instances to particular needs and budget-saving tools to control spend. There is an emphasis on the agility provided by the AWS Cloud and its relevance to healthcare providers as they grow into new markets and opportunities. Finally, this course shares case studies of cloud adoption for healthcare so customers can use the learning experiences of others when shaping their own journey.",0,0,1,0,5.0,0,English,English,AWS,AWS Skill Builder,https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fproviders%2Faws-skill-builder-hz.png?auto=format&ixlib=php-3.3.1&s=93a153eaf2cf7abbc130afaa0cc34197
Getting Started with AWS IoT SiteWise,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14873/getting-started-with-aws-iot-sitewise,"Computer Science , Cloud , AWS ,Cloud Computing",,,0,0,1,0,5.0,0,English,English,AWS,AWS Skill Builder,https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fproviders%2Faws-skill-builder-hz.png?auto=format&ixlib=php-3.3.1&s=93a153eaf2cf7abbc130afaa0cc34197
Getting Started with AWS Control Tower,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14823/getting-started-with-aws-control-tower,"Computer Science , Cloud , AWS ,Cloud Computing",,,0,0,1,0,5.0,0,English,English,AWS,AWS Skill Builder,https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fproviders%2Faws-skill-builder-hz.png?auto=format&ixlib=php-3.3.1&s=93a153eaf2cf7abbc130afaa0cc34197
Getting Started with Amazon Textract,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14791/getting-started-with-amazon-textract,"Computer Science , Cloud , AWS ,Cloud Computing","Amazon Textract is a machine learning (ML) service that automatically extracts text, handwriting, and data from scanned documents and goes beyond optical character recognition (OCR) to identify, understand, and extract data from forms and tables. In this Getting Started course, you will learn about the benefits, features, typical use cases, technical concepts, and costs of Amazon Textract. You will review an architecture for a text-extraction solution using Amazon Textract that you can further adapt to your use case. Through a guided tutorial, you will also try the service in your own Amazon Web Services (AWS) account.","Amazon Textract is a machine learning (ML) service that automatically extracts text, handwriting, and data from scanned documents and goes beyond optical character recognition (OCR) to identify, understand, and extract data from forms and tables. In this Getting Started course, you will learn about the benefits, features, typical use cases, technical concepts, and costs of Amazon Textract. You will review an architecture for a text-extraction solution using Amazon Textract that you can further adapt to your use case. Through a guided tutorial, you will also try the service in your own Amazon Web Services (AWS) account.",0,0,1,0,5.0,0,English,English,AWS,AWS Skill Builder,https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fproviders%2Faws-skill-builder-hz.png?auto=format&ixlib=php-3.3.1&s=93a153eaf2cf7abbc130afaa0cc34197
Mainframe Modernization Patterns and Best Practices,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14761/mainframe-modernization-patterns-and-best-practices,"Computer Science , Cloud , AWS ,Cloud Computing","We have updated this course on Jan 24,2023 to correct a problem that was impacting course completion. If you are enrolled in the course and have not completed it, your progress may be impacted. We apologize for any inconvenience this may cause","We have updated this course on Jan 24,2023 to correct a problem that was impacting course completion. If you are enrolled in the course and have not completed it, your progress may be impacted. We apologize for any inconvenience this may cause",0,0,1,0,5.0,0,English,English,AWS,AWS Skill Builder,https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fproviders%2Faws-skill-builder-hz.png?auto=format&ixlib=php-3.3.1&s=93a153eaf2cf7abbc130afaa0cc34197
Approach to Mainframe Migration and Modernization,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14759/approach-to-mainframe-migration-and-modernization,"Computer Science , Cloud , AWS ,Cloud Computing","We have updated this course on January 26, 2023 to correct a problem that was impacting course completion. If you are enrolled in the course and have not completed it, your progress may be impacted. We apologize for any inconvenience this may cause.","We have updated this course on January 26, 2023 to correct a problem that was impacting course completion. If you are enrolled in the course and have not completed it, your progress may be impacted. We apologize for any inconvenience this may cause.",0,0,1,0,5.0,0,English,English,AWS,AWS Skill Builder,https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fproviders%2Faws-skill-builder-hz.png?auto=format&ixlib=php-3.3.1&s=93a153eaf2cf7abbc130afaa0cc34197
AWS Skills Centers: Becoming a Cloud Practitioner - Half-Quiz Review,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14705/aws-skills-centers-becoming-a-cloud-practitioner-half-quiz-review,"Computer Science , Cloud , AWS ,Cloud Computing",Fundamental,Fundamental,0,0,1,0,5.0,0,English,English,AWS,AWS Skill Builder,https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fproviders%2Faws-skill-builder-hz.png?auto=format&ixlib=php-3.3.1&s=93a153eaf2cf7abbc130afaa0cc34197
AWS Skills Centers: Becoming a Cloud Practitioner - Mini-Quiz Review,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14704/aws-skills-centers-becoming-a-cloud-practitioner-mini-quiz-review,"Computer Science , Cloud , AWS ,Cloud Computing",Fundamental,Fundamental,0,0,1,0,5.0,0,English,English,AWS,AWS Skill Builder,https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fproviders%2Faws-skill-builder-hz.png?auto=format&ixlib=php-3.3.1&s=93a153eaf2cf7abbc130afaa0cc34197
AWS Skills Centers: Becoming a Cloud Practitioner - Full-Quiz Review,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14703/aws-skills-centers-becoming-a-cloud-practitioner-full-quiz-review,"Computer Science , Cloud , AWS ,Cloud Computing",Fundamental,Fundamental,0,0,1,0,5.0,0,English,English,AWS,AWS Skill Builder,https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fproviders%2Faws-skill-builder-hz.png?auto=format&ixlib=php-3.3.1&s=93a153eaf2cf7abbc130afaa0cc34197
