Course Name,URL,Categories,Short Description,Long Description,Difficulty,Duration,Free Option,Number of Enrolled,Rating,Paid Option,Language,Subtitle Language,Platform,Provider,Image URL
Building Dashboards with Dash and Plotly,https://www.datacamp.com/courses/building-dashboards-with-dash-and-plotly?irclickid=2ItUBXQtxxyNRm33adwLtwB0UkAWU301ZQ33Q40&irgwc=1&utm_medium=affiliate&utm_source=impact&utm_campaign=000000_1-259799_2-mix_3-all_4-na_5-na_6-na_7-mp_8-affl-ip_9-na_10-bau_11-Class%20Central&utm_content=BANNER&utm_term=,Computer Science,Learn how to build interactive and insight-rich dashboards with Dash and Plotly.,Learn how to build interactive and insight-rich dashboards with Dash and Plotly.,Introductory,0,1,0,3.53,0,English,English,DataCamp,DataCamp,https://cdn.datacamp.com/main-app/assets/logos/datacamp-full-inverted-61bf3532a54d25d5b45b82fbe208cb86aed9663a324546cd351531a25985df8a.svg
Choice Modeling for Marketing in R,https://www.datacamp.com/courses/choice-modeling-for-marketing-in-r?irclickid=2ItUBXQtxxyNRm33adwLtwB0UkAWU30NZQ33Q40&irgwc=1&utm_medium=affiliate&utm_source=impact&utm_campaign=000000_1-259799_2-mix_3-all_4-na_5-na_6-na_7-mp_8-affl-ip_9-na_10-bau_11-Class%20Central&utm_content=BANNER&utm_term=,Computer Science,Learn to analyze and model customer choice data in R.,Learn to analyze and model customer choice data in R.,Introductory,0,1,0,3.53,0,English,English,DataCamp,DataCamp,https://cdn.datacamp.com/main-app/assets/logos/datacamp-full-inverted-61bf3532a54d25d5b45b82fbe208cb86aed9663a324546cd351531a25985df8a.svg
Scalable Data Processing in R,https://www.datacamp.com/courses/scalable-data-processing-in-r?irclickid=2ItUBXQtxxyNRm33adwLtwB0UkAWU3xlZQ33Q40&irgwc=1&utm_medium=affiliate&utm_source=impact&utm_campaign=000000_1-259799_2-mix_3-all_4-na_5-na_6-na_7-mp_8-affl-ip_9-na_10-bau_11-Class%20Central&utm_content=BANNER&utm_term=,Computer Science,Learn how to write scalable code for working with big data in R using the bigmemory and iotools packages.,Learn how to write scalable code for working with big data in R using the bigmemory and iotools packages.,Introductory,0,1,0,3.53,0,English,English,DataCamp,DataCamp,https://cdn.datacamp.com/main-app/assets/logos/datacamp-full-inverted-61bf3532a54d25d5b45b82fbe208cb86aed9663a324546cd351531a25985df8a.svg
NoSQL Concepts,https://www.datacamp.com/courses/nosql-concepts?irclickid=2ItUBXQtxxyNRm33adwLtwB0UkAWU3x9ZQ33Q40&irgwc=1&utm_medium=affiliate&utm_source=impact&utm_campaign=000000_1-259799_2-mix_3-all_4-na_5-na_6-na_7-mp_8-affl-ip_9-na_10-bau_11-Class%20Central&utm_content=BANNER&utm_term=,Computer Science,"In this conceptual course (no coding required), you will learn about the four major NoSQL databases and popular engines.","In this conceptual course (no coding required), you will learn about the four major NoSQL databases and popular engines.",Introductory,0,1,0,3.53,0,English,English,DataCamp,DataCamp,https://cdn.datacamp.com/main-app/assets/logos/datacamp-full-inverted-61bf3532a54d25d5b45b82fbe208cb86aed9663a324546cd351531a25985df8a.svg
Topic Modeling in R,https://www.datacamp.com/courses/topic-modeling-in-r?irclickid=2ItUBXQtxxyNRm33adwLtwB0UkAWU32tZQ33Q40&irgwc=1&utm_medium=affiliate&utm_source=impact&utm_campaign=000000_1-259799_2-mix_3-all_4-na_5-na_6-na_7-mp_8-affl-ip_9-na_10-bau_11-Class%20Central&utm_content=BANNER&utm_term=,Computer Science,Learn how to fit topic models using the Latent Dirichlet Allocation algorithm.,Learn how to fit topic models using the Latent Dirichlet Allocation algorithm.,Introductory,0,1,0,3.53,0,English,English,DataCamp,DataCamp,https://cdn.datacamp.com/main-app/assets/logos/datacamp-full-inverted-61bf3532a54d25d5b45b82fbe208cb86aed9663a324546cd351531a25985df8a.svg
Working with Categorical Data in Python,https://www.datacamp.com/courses/working-with-categorical-data-in-python?irclickid=2ItUBXQtxxyNRm33adwLtwB0UkAWU3zhZQ33Q40&irgwc=1&utm_medium=affiliate&utm_source=impact&utm_campaign=000000_1-259799_2-mix_3-all_4-na_5-na_6-na_7-mp_8-affl-ip_9-na_10-bau_11-Class%20Central&utm_content=BANNER&utm_term=,Computer Science,Learn how to manipulate and visualize categorical data using pandas and seaborn.,Learn how to manipulate and visualize categorical data using pandas and seaborn.,Introductory,0,1,0,3.53,0,English,English,DataCamp,DataCamp,https://cdn.datacamp.com/main-app/assets/logos/datacamp-full-inverted-61bf3532a54d25d5b45b82fbe208cb86aed9663a324546cd351531a25985df8a.svg
Intermediate DAX in Power BI,https://www.datacamp.com/courses/intermediate-dax-in-power-bi?irclickid=2ItUBXQtxxyNRm33adwLtwB0UkAWU3z5ZQ33Q40&irgwc=1&utm_medium=affiliate&utm_source=impact&utm_campaign=000000_1-259799_2-mix_3-all_4-na_5-na_6-na_7-mp_8-affl-ip_9-na_10-bau_11-Class%20Central&utm_content=BANNER&utm_term=,Computer Science,Discover a wide range of DAX calculations and learn how to use them in Microsoft Power BI.,Discover a wide range of DAX calculations and learn how to use them in Microsoft Power BI.,Introductory,0,1,0,3.53,0,English,English,DataCamp,DataCamp,https://cdn.datacamp.com/main-app/assets/logos/datacamp-full-inverted-61bf3532a54d25d5b45b82fbe208cb86aed9663a324546cd351531a25985df8a.svg
Data Visualization with lattice in R,https://www.datacamp.com/courses/data-visualization-with-lattice-in-r?irclickid=2ItUBXQtxxyNRm33adwLtwB0UkAWU3wpZQ33Q40&irgwc=1&utm_medium=affiliate&utm_source=impact&utm_campaign=000000_1-259799_2-mix_3-all_4-na_5-na_6-na_7-mp_8-affl-ip_9-na_10-bau_11-Class%20Central&utm_content=BANNER&utm_term=,Computer Science,Learn to visualize multivariate datasets using lattice graphics.,Learn to visualize multivariate datasets using lattice graphics.,Introductory,0,1,0,3.53,0,English,English,DataCamp,DataCamp,https://cdn.datacamp.com/main-app/assets/logos/datacamp-full-inverted-61bf3532a54d25d5b45b82fbe208cb86aed9663a324546cd351531a25985df8a.svg
AWS Cloud Concepts,https://www.datacamp.com/courses/aws-cloud-concepts?irclickid=2ItUBXQtxxyNRm33adwLtwB0UkAWU31RZQ33Q40&irgwc=1&utm_medium=affiliate&utm_source=impact&utm_campaign=000000_1-259799_2-mix_3-all_4-na_5-na_6-na_7-mp_8-affl-ip_9-na_10-bau_11-Class%20Central&utm_content=BANNER&utm_term=,Computer Science,Learn the fundamentals of cloud computing with AWS.,Learn the fundamentals of cloud computing with AWS.,Introductory,0,1,0,3.53,0,English,English,DataCamp,DataCamp,https://cdn.datacamp.com/main-app/assets/logos/datacamp-full-inverted-61bf3532a54d25d5b45b82fbe208cb86aed9663a324546cd351531a25985df8a.svg
Modeling with tidymodels in R,https://www.datacamp.com/courses/modeling-with-tidymodels-in-r?irclickid=2ItUBXQtxxyNRm33adwLtwB0UkAWU31dZQ33Q40&irgwc=1&utm_medium=affiliate&utm_source=impact&utm_campaign=000000_1-259799_2-mix_3-all_4-na_5-na_6-na_7-mp_8-affl-ip_9-na_10-bau_11-Class%20Central&utm_content=BANNER&utm_term=,Computer Science,Learn to streamline your machine learning workflows with tidymodels.,Learn to streamline your machine learning workflows with tidymodels.,Introductory,0,1,0,3.53,0,English,English,DataCamp,DataCamp,https://cdn.datacamp.com/main-app/assets/logos/datacamp-full-inverted-61bf3532a54d25d5b45b82fbe208cb86aed9663a324546cd351531a25985df8a.svg
