URL,Provider,Title,ReviewStars,Number_of_review,Duration_Week,Duration_per_week,Cost,Description,Course_Level,Enrollment_Number
https://www.futurelearn.com/courses/video-game-music,Abertay University,Video Game Design and Development: A Bit-by-Bit History of Video Game Music: Video Game Sound and Music,4.2,(17 reviews),2 weeks,2 hrs per week,Included in Unlimited,"You’ll draw on technology, musicology, and cultural studies to chart the development of the best video game music – from Pong to the complex arrangements of today’s first-person shooters.",Intermediate level,"8,225 enrolled on this course"
https://www.futurelearn.com/courses/implementing-iso27001,PA Consulting,ISO 27001: ISO Implementation Practitioner,4.6,(9 reviews),3 weeks,4 hrs per week,Included in Unlimited,"You’ll come away with key skills in ISO 27001, able to act as a practitioner in implementing information security management, ensuring your organisation is ISO 27001 compliant.",Intermediate level,820 enrolled on this course
https://www.futurelearn.com/courses/data-visualisation-communicate-key-metrics-throughout-your-business,FutureLearn,Data Visualisation: Creating charts and complex visualisations in Tableau,,,4 weeks,4 hrs per week,,"This course will prepare you to make decisions on how to release the information, timings, and how to communicate upon release for maximum impact.",,This course is part of the Data Visualisation ExpertTrack
https://www.futurelearn.com/courses/data-visualisation-prediction-and-ethics,FutureLearn,Data Visualisation: Data Dashboards and Storytelling with Tableau,,,4 weeks,4 hrs per week,,"Upon completion of this course, the final in the ExpertTrack, you will feel confident in not only creating effective data visualisations but also in responding to challenges and ensuring your organisation is complying with ethical and legal responsibilities around data handling.",,This course is part of the Data Visualisation ExpertTrack
https://www.futurelearn.com/courses/data-visualisation-core-elements-and-theories,FutureLearn,Data Visualisation: Data Visualisation with Tableau Fundamentals,,,4 weeks,4 hrs per week,,"By the end of this course, you’ll feel confident identifying useful areas of Tableau, you’ll have a foundation in data visualisation theory, and you’ll be ready to move onto creating your dashboards and distributing them within your organisation.",,This course is part of the Data Visualisation ExpertTrack
https://www.futurelearn.com/courses/video-game-design-development,Abertay University,Video Game Design and Development: Introduction to Game Programming,4.1,(47 reviews),2 weeks,3 hrs per week,Included in Unlimited,"On this course, you’ll get an introduction to the major concepts of game programming, including user input, rendering and collision detection. You’ll take a detailed look at core programming concepts such as loops, conditional statements and data storage.",Introductory level,"14,594 enrolled on this course"
https://www.futurelearn.com/courses/data-analysis-fundamentals-in-excel,Filtered,Analysing Data in Excel,4.6,(61 reviews),3 weeks,3 hrs per week,Included in Unlimited,"They’ve taught over a million individual learners, with research printed in the Harvard Business Review.",Introductory level,"6,982 enrolled on this course"
https://www.futurelearn.com/courses/introduction-to-conversational-interfaces,UAL Creative Computing Institute & Institute of Coding,Introduction to Conversational Interfaces,4.7,(53 reviews),2 weeks,2 hrs per week,Included in Unlimited,Featured in the UK government’s The Skills Toolkit collection.,Introductory level,"6,192 enrolled on this course"
https://www.futurelearn.com/courses/introduction-to-creative-ai,UAL Creative Computing Institute & Institute of Coding,Introduction to Creative AI,4.7,(152 reviews),2 weeks,2 hrs per week,Included in Unlimited,Featured in the UK government’s The Skills Toolkit collection.,Introductory level,"19,319 enrolled on this course"
https://www.futurelearn.com/courses/introduction-to-indie-games,UAL Creative Computing Institute & Institute of Coding,Introduction to Indie Games,4.8,(30 reviews),2 weeks,2 hrs per week,Included in Unlimited,Featured in the UK government’s The Skills Toolkit collection.,Introductory level,"6,778 enrolled on this course"
https://www.futurelearn.com/courses/digital-product-management,"Darden School of Business, University of Virginia",Digital Product Management,4.7,(41 reviews),4 weeks,3 hrs per week,Included in Unlimited,You’ll also identify and assess various product management tools for managing existing products and exploring new ideas.,Introductory level,"11,103 enrolled on this course"
https://www.futurelearn.com/courses/core-excel-skills-to-make-an-impression,The Excel Club,Excel Skills to Make an Impression,4.7,(112 reviews),4 weeks,2 hrs per week,Included in Unlimited,"With these advanced Excel skills, you will be able to approach complex tasks with confidence. You will be empowered to advance your career, either in your current role or in a new one.",Introductory level,"15,110 enrolled on this course"
https://www.futurelearn.com/courses/artificial-intelligence-in-healthcare,The University of Manchester & Health Education England,AI for Healthcare: Equipping the Workforce for Digital Transformation,4.4,(31 reviews),5 weeks,2 hrs per week,Included in Unlimited,"On this course, you will develop your own digital skills and increase your understanding of technology for healthcare, so that you can join the conversation on embedding AI in healthcare practice.",Intermediate level,"9,596 enrolled on this course"
https://www.futurelearn.com/courses/creating-a-great-user-experience-for-mobile-apps,University of Leeds & Institute of Coding,Creating a Great User Experience for Mobile Apps,4.8,(204 reviews),2 weeks,3 hrs per week,,"By the end of this course, you’ll have the skills and knowledge to design and test an app, and the features you need to include for a great user experience.",,"This course is part of the Digital Marketing: Coding, UX, and Creating Digital Content ExpertTrack"
https://www.futurelearn.com/courses/decision-making-how-to-choose-the-right-problem-to-solve,University of Leeds & Institute of Coding,Decision Making: How to Choose the Right Problem to Solve,4.7,(231 reviews),3 weeks,3 hrs per week,,"By the end of this course, you’ll have the knowledge and skills to tackle real-world problems and be able to persuade others that your solutions will work.",,This course is part of the Problem Solving in Digital Age ExpertTrack
https://www.futurelearn.com/courses/evidence-and-data-collection-for-problem-solving,University of Leeds & Institute of Coding,Evidence and Data Collection for Problem Solving,4.7,(186 reviews),2 weeks,3 hrs per week,,"Whether you’re entering the world of work or forging a new career for yourself, this course will help prepare you for the fast-moving digital space.",,This course is part of the Problem Solving in Digital Age ExpertTrack
https://www.futurelearn.com/courses/learn-about-current-digital-workplace-trends,University of Leeds & Institute of Coding,Learn about Current Digital Workplace Trends,4.7,(137 reviews),2 weeks,3 hrs per week,,"Whether you’re just entering the world of work, or you’re forging a new career path in the fast-moving digital space, this course is a practical guide to using technology effectively.",,This course is part of the Skills to Succeed in Digital Workplace ExpertTrack
https://www.futurelearn.com/courses/learn-to-code-for-the-web,University of Leeds & Institute of Coding,Learn to Code for the Web,4.7,(475 reviews),2 weeks,3 hrs per week,,"By the end of the course, you’ll have the confidence and knowledge to start your coding journey whether it’s for a new career move or a project outside the workplace.",,"This course is part of the Digital Marketing: Coding, UX, and Creating Digital Content ExpertTrack"
https://www.futurelearn.com/courses/reading-digital,University of Basel,Literature in the Digital Age: from Close Reading to Distant Reading,4.8,(41 reviews),6 weeks,4 hrs per week,Included in Unlimited,This free online course addresses these questions as it introduces you to a variety of ways of interpreting literary texts. We will look into time-tested methods such as close reading and will also address more recent practices such as computer-based distant reading.,Open level,"12,052 enrolled on this course"
https://www.futurelearn.com/courses/artificial-intelligence-hospitality-challenges-and-business-opportunities,Swiss Education Group & Hotel Institute Montreux,Artificial Intelligence (AI) in Hospitality: Challenges and Business Opportunities,,,4 weeks,4 hrs per week,Included in Unlimited,"Having completed the course, you’ll be trained in the latest cutting-edge developments in technology, ready to bring this new knowledge to bear in your hospitality business.",Introductory level,"1,122 enrolled on this course"
https://www.futurelearn.com/courses/construct-a-virtual-reality-experience,Lancaster University & Institute of Coding,Construct a Virtual Reality Experience,4.6,(14 reviews),4 weeks,6 hrs per week,Included in Unlimited,"On this course, you’ll learn what virtual reality is, and how exactly it’s used. You’ll discover how to create your own virtual reality world by coding with Javascript. In this VR world, you’ll be able to create, colour, and move your own objects.",Introductory level,"1,417 enrolled on this course"
https://www.futurelearn.com/courses/technology-entrepreneurship-start-a-new-venture,University of Twente,Technology Entrepreneurship: How to Start a New Venture,4.6,(11 reviews),3 weeks,3 hrs per week,Included in Unlimited,"In this free online course, you’ll learn from experienced technology entrepreneurs and educators from the University of Twente how to address three crucial questions along the path towards a financially sustainable venture. You’ll find out how to recognise, evaluate and exploit entrepreneurial opportunities.",Introductory level,"4,733 enrolled on this course"
https://www.futurelearn.com/courses/hands-on-password-attacks-and-security,EC-Council,Advanced Cyber Security Training: Hands-On Password Attacks,3.7,(6 reviews),2 weeks,2 hrs per week,,"By the end of the course, you’ll understand  the theory behind password attacks, how to create a uncrackable password, and the solutions and techniques you can implement to prevent attacks in future.",,This course is part of the Advanced Cyber Security Training ExpertTrack
https://www.futurelearn.com/courses/securing-your-network-from-attacks,EC-Council,Advanced Cyber Security Training: Network Security,,,4 weeks,3 hrs per week,,"These transferable cyber security skills can then be used to increase the security in your network, making it a harder target for potential attackers.",,This course is part of the Advanced Cyber Security Training ExpertTrack
https://www.futurelearn.com/courses/owasp-top-10-security-fundamentals,EC-Council,Advanced Cyber Security Training: OWASP Top 10 and Web Application Fundamentals,,,3 weeks,2 hrs per week,,"By the end of the course, you’ll be comfortable increasing security in your organisation and the Software Development Lifecycle (SDLC).",,This course is part of the Advanced Cyber Security Training ExpertTrack
https://www.futurelearn.com/courses/cryptography-and-digital-certificates-et,Coventry University,Cryptography and Digital Certificates,,,2 weeks,5 hrs per week,,"The course concludes with a look at cloud security issues, studying the emergence of bring your own device policies (BYOD), the emerging trend of employees using their personal devices, and the associated risks.",,This course is part of the Digital Security Training: Cyber Threats and Risk Management ExpertTrack
https://www.futurelearn.com/courses/digital-security-policy-and-management-et,Coventry University,Information Security Policy and Management,,,2 weeks,5 hrs per week,,"You’ll look at the goals of an incident response strategy, the different stages and the various teams involved. You’ll conclude by considering how to develop an effective incident response planning policy.",,This course is part of the Digital Security Training: Cyber Threats and Risk Management ExpertTrack
https://www.futurelearn.com/courses/code-club,Raspberry Pi Foundation,Prepare to Run a Code Club,4.7,(128 reviews),3 weeks,2 hrs per week,Included in Unlimited,"In response to the coronavirus pandemic, we have provided guidance on ways that you can run your Code Club during this time.",Introductory level,"21,648 enrolled on this course"
https://www.futurelearn.com/courses/digital-risk-management-et,Coventry University,Risk Management and Security Vulnerabilities,,,2 weeks,5 hrs per week,,"Finally, you’ll explore how to cultivate a rigorous digital security culture where information protection considerations are an integral part of an employee’s job, habits, and conduct, and how to integrate them in their day-to-day actions.",,This course is part of the Digital Security Training: Cyber Threats and Risk Management ExpertTrack
https://www.futurelearn.com/courses/the-cyber-security-landscape-et,Coventry University,The Cyber Security Landscape,,,2 weeks,5 hrs per week,,"Finally, you’ll review the possible motivations of security breaches and what organisations can do to protect themselves, their systems, and their data.",,This course is part of the Digital Security Training: Cyber Threats and Risk Management ExpertTrack
https://www.futurelearn.com/courses/the-future-of-cyber-security-et,Coventry University,The Future of Cyber Security and Emerging Technologies,,,2 weeks,5 hrs per week,,"Finally, you’ll discuss the future of threat management, the influence this will have on corporate security and whether workplaces and employees will be able to keep up.",,This course is part of the Digital Security Training: Cyber Threats and Risk Management ExpertTrack
