course_name,course_url,course_provider,course_skill,course_rating,course_enroll,course_difficultty,course_time,course_type,course_frr
Introduction to Data Analytics,https://www.coursera.org/learn/introduction-to-data-analytics,IBM Skills Network,"Skills you'll gain: Data Analysis, Data Management, Data Science, Big Data, Databases, NoSQL, Python Programming, SQL, Statistical Programming, Basic Descriptive Statistics, Cloud Computing, Data Mining, Data Structures, Data Visualization, Data Warehousing, General Statistics, Machine Learning, Mathematics, Probability & Statistics, Apache, Business Analysis, Data Visualization Software, Extract, Transform, Load, Leadership and Management, Microsoft Excel, Professional Development",4.8,"2,87,041",beginner,1-3 months,course,free
"Python for Data Science, AI & Development",https://www.coursera.org/learn/python-for-applied-data-science-ai,IBM Skills Network,"Skills you'll gain: Data Analysis, Python Programming, Data Structures, Programming Principles, Algebra, Basic Descriptive Statistics, Exploratory Data Analysis, Computational Logic, Computer Programming, Mathematical Theory & Analysis, Mathematics, Statistical Programming, Theoretical Computer Science",4.6,"5,30,912",beginner,1-3 months,course,free
Introduction to Cloud Computing,https://www.coursera.org/learn/introduction-to-cloud,IBM Skills Network,"Skills you'll gain: Cloud Computing, Cloud Engineering, Cloud Infrastructure, Cloud Applications, Cloud Management, Cloud Platforms, Cloud Storage, DevOps, IBM Cloud, Network Security, Software As A Service, Software Engineering, BlockChain, Computer Architecture, Computer Graphics, Computer Programming, Finance, Human Computer Interaction, Interactive Design, Operating Systems, Security Engineering, Software Architecture, Software Framework, System Programming, Theoretical Computer Science",4.7,"1,64,790",beginner,1-3 months,course,free
IT Security: Defense against the digital dark arts,https://www.coursera.org/learn/it-security,Google,"Skills you'll gain: Security Engineering, Computer Networking, Cryptography, Cyberattacks, Network Security, Computer Security Incident Management, Security Strategy, Entrepreneurship, Leadership and Management, Marketing, Operating Systems, Sales, Security Software, Software Security, Strategy, Strategy and Operations, System Security, Theoretical Computer Science",4.8,"2,99,605",beginner,1-3 months,course,free
Databases and SQL for Data Science with Python,https://www.coursera.org/learn/sql-data-science,IBM Skills Network,"Skills you'll gain: SQL, Databases, Database Theory, Data Management, Statistical Programming, Data Science, Data Structures, Database Application, Computer Programming, Database Administration, Python Programming",4.6,"3,16,898",beginner,1-3 months,course,free
"Cybersecurity Roles, Processes & Operating System Security",https://www.coursera.org/learn/cybersecurity-roles-processes-operating-system-security,IBM,"Skills you'll gain: Security Engineering, Operating Systems, Cloud Computing, Cloud Engineering, Computer Security Incident Management, Linux, System Security, System Software, Cloud Infrastructure, Cloud Management, Computer Architecture, Computer Networking, Cryptography, Data Management, Data Warehousing, Distributed Computing Architecture, Leadership and Management, Networking Hardware, Security Strategy, Software Security, Theoretical Computer Science",4.6,"96,762",beginner,1-3 months,course,free
Data Analysis with Python,https://www.coursera.org/learn/data-analysis-with-python,IBM Skills Network,"Skills you'll gain: Basic Descriptive Statistics, Data Analysis, Data Science, Python Programming, Applied Machine Learning, Data Mining, Data Structures, General Statistics, Machine Learning, Regression, Statistical Analysis, Statistical Tests, Exploratory Data Analysis, Algebra, Business Analysis, Computer Programming, Computer Programming Tools, Correlation And Dependence, Econometrics, Mathematical Theory & Analysis, Probability & Statistics, Spreadsheet Software, Statistical Machine Learning, Statistical Programming",4.7,"3,08,690",beginner,1-3 months,course,free
Create High-Fidelity Designs and Prototypes in Figma,https://www.coursera.org/learn/high-fidelity-designs-prototype,Google,"Skills you'll gain: Collaboration, Computer Science, Change Management, Design and Product, Emotional Intelligence, Marketing Design, Problem Solving, Product Design, Research and Design, User Experience Design, Web Design, Communication, Human Computer Interaction, Leadership and Management, Operating Systems, Systems Design, Theoretical Computer Science, User Experience, User Research, Visual Design",4.8,"1,33,209",beginner,1-3 months,course,free
Introduction to DevOps,https://www.coursera.org/learn/intro-to-devops,IBM Skills Network,"Skills you'll gain: DevOps, Continuous Delivery, Continuous Integration, Computer Programming, Programming Principles, Collaboration, Communication, Design and Product, Leadership and Management, Product Design, Product Development, Software Architecture, Software Engineering, Software Testing, Theoretical Computer Science",4.8,"50,173",beginner,1-3 months,course,free
Machine Learning Foundations for Product Managers,https://www.coursera.org/learn/machine-learning-foundations-for-product-managers,Duke University,"Skills you'll gain: Machine Learning, Machine Learning Algorithms, Probability & Statistics, Regression, Applied Machine Learning, Data Analysis, Data Mining, Deep Learning, Artificial Neural Networks, Computer Vision, Natural Language Processing, Statistical Machine Learning, Algorithms, Data Management, Data Science, Data Structures, Econometrics, General Statistics, Strategy and Operations, Theoretical Computer Science",4.6,"12,881",beginner,1-3 months,course,free
SAP Professional Fundamentals,https://www.coursera.org/learn/sap-professional-fundamentals,SAP,"Skills you'll gain: Entrepreneurship, Leadership and Management, Business Process Management, Strategy and Operations, Business Analysis, Business Transformation, Cloud Computing, Software As A Service, Software Engineering, Agile Software Development, Planning, Problem Solving, Process Analysis, Project Management, Research and Design, Software Architecture, Supply Chain and Logistics, Theoretical Computer Science, Communication, Operations Management, Sales",4.8,"12,486",beginner,1-3 months,course,free
Work Smarter with Microsoft Word,https://www.coursera.org/learn/microsoft-word-work-smarter,Microsoft,"Skills you'll gain: Communication, Computer Programming, Computer Programming Tools, Advertising, Business Analysis, Cloud Computing, Cloud Platforms, Collaboration, Computer Graphic Techniques, Computer Graphics, Data Analysis, Data Analysis Software, Data Management, Data Structures, Graphic Design, Leadership and Management, Marketing, Research and Design, Spreadsheet Software, Theoretical Computer Science, Visual Design, Writing, Finance, Mergers & Acquisitions",4.7,"37,013",beginner,1-3 months,course,free
Using Python to Interact with the Operating System,https://www.coursera.org/learn/python-operating-system,Google,"Skills you'll gain: Computer Programming, Python Programming, Software Engineering, Software Testing, Computational Logic, Mathematical Theory & Analysis, Mathematics, Other Programming Languages, Programming Principles, Statistical Programming, Theoretical Computer Science",4.7,"1,82,528",beginner,1-3 months,course,free
Sustainable Fashion,https://www.coursera.org/learn/sustainable-fashion,Copenhagen Business School,"Skills you'll gain: Advertising, Communication, Marketing, Software Architecture, Software Engineering, Theoretical Computer Science",4.8,"51,401",beginner,1-3 months,course,free
5G for Everyone,https://www.coursera.org/learn/5g-training-qualcomm,Qualcomm Wireless Academy,"Skills you'll gain: Computer Networking, Computer Architecture, Network Architecture, Communication, Internet Of Things, Network Model, Network Security, Security Engineering, Software Engineering, Computational Logic, Computer Graphics, Deep Learning, Human Computer Interaction, Interactive Design, Machine Learning, Mathematical Theory & Analysis, Mathematics, Mobile Development, Mobile Security, Software-Defined Networking, Theoretical Computer Science",4.8,"11,244",beginner,1-3 months,course,free
Foundations of Data Science: K-Means Clustering in Python,https://www.coursera.org/learn/data-science-k-means-clustering-python,University of London,"Skills you'll gain: Algorithms, Theoretical Computer Science, Computer Programming, General Statistics, Probability & Statistics, Python Programming, Statistical Programming, Data Visualization, Data Analysis, Machine Learning, Plot (Graphics), Business Analysis, Machine Learning Algorithms, Statistical Analysis",4.6,"46,210",beginner,1-3 months,course,free
Introduction to Hardware and Operating Systems,https://www.coursera.org/learn/introduction-to-hardware-and-operating-systems,IBM Skills Network,"Skills you'll gain: Computer Architecture, Operating Systems, Hardware Design, Theoretical Computer Science, Computer Networking, Human Computer Interaction, Internet Of Things, Journalism, Microarchitecture, Network Architecture, Networking Hardware, Software Engineering, User Experience",4.8,"22,528",beginner,1-3 months,course,free
Solar Energy Basics,https://www.coursera.org/learn/solar-energy-basics,The State University of New York,"Skills you'll gain: Applied Mathematics, Operating Systems, Systems Design, Theoretical Computer Science, Entrepreneurship, Leadership and Management, Mathematics, Problem Solving, Research and Design",4.8,"85,934",beginner,1-3 months,course,free
Introduction to Software Engineering,https://www.coursera.org/learn/introduction-to-software-engineering,IBM Skills Network,"Skills you'll gain: Software Engineering, Agile Software Development, Computer Programming, Front-End Web Development, Software Engineering Tools, Web Development, Application Development, Design and Product, Full-Stack Web Development, Leadership and Management, Professional Development, Software Architecture, Software Framework, Theoretical Computer Science, Web Development Tools, Communication, Journalism",4.7,"11,594",beginner,1-3 months,course,free
"Programming Foundations with JavaScript, HTML and CSS",https://www.coursera.org/learn/duke-programming-web,Duke University,"Skills you'll gain: Web Development, Javascript, Front-End Web Development, HTML and CSS, Web Design, Computer Graphics, Computer Programming, Cryptography, Security Engineering, Theoretical Computer Science",4.6,"5,32,825",beginner,1-3 months,course,free
El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,https://www.coursera.org/learn/legaltech,Universidad Austral,"Skills you'll gain: BlockChain, Entrepreneurship, Finance, Algorithms, FinTech, Innovation, Machine Learning, Machine Learning Algorithms, Research and Design, Theoretical Computer Science",4.9,"35,191",beginner,1-3 months,course,free
"Excel/VBA for Creative Problem Solving, Part 1",https://www.coursera.org/learn/excel-vba-for-creative-problem-solving-part-1,University of Colorado Boulder,"Skills you'll gain: Business Analysis, Microsoft Excel, Spreadsheet Software, Data Analysis, Computer Programming, Entrepreneurship, Leadership and Management, Problem Solving, Research and Design, Algorithms, Data Management, Extract, Transform, Load, Theoretical Computer Science, Computational Thinking, Data Analysis Software",4.8,"1,35,716",beginner,1-3 months,course,free
Introduction to Blockchain for Global Commerce,https://www.coursera.org/learn/introduction-to-blockchain-for-global-commerce,INSEAD,"Skills you'll gain: Finance, BlockChain, FinTech, Cryptography, Security Engineering, Theoretical Computer Science",4.6,"1,548",beginner,1-3 months,course,free
Blockchain: Foundations and Use Cases,https://www.coursera.org/learn/blockchain-foundations-and-use-cases,ConsenSys Academy,"Skills you'll gain: Computer Science, Cryptography, Theoretical Computer Science, BlockChain, Finance, Algorithms, Computational Logic, Computer Architecture, FinTech, Hardware Design, Mathematical Theory & Analysis, Mathematics, Security Engineering",4.7,"81,554",beginner,1-3 months,course,free
The Structured Query Language (SQL),https://www.coursera.org/learn/the-structured-query-language-sql,University of Colorado Boulder,"Skills you'll gain: Data Management, Databases, SQL, Statistical Programming, PostgreSQL, Database Administration, Database Application, Database Theory, Theoretical Computer Science, Data Science",4.7,"24,983",beginner,1-3 months,course,free
Google Cloud Big Data and Machine Learning Fundamentals,https://www.coursera.org/learn/gcp-big-data-ml-fundamentals,Google Cloud,"Skills you'll gain: Cloud Computing, Cloud Platforms, Data Management, Google Cloud Platform, Big Data, Apache, Applied Machine Learning, Cloud Applications, Cloud Infrastructure, Cloud Storage, Data Analysis, Data Analysis Software, Data Architecture, Data Model, Data Structures, Data Warehousing, Database Application, Databases, Exploratory Data Analysis, Extract, Transform, Load, Machine Learning, Machine Learning Algorithms, Machine Learning Software, SQL",4.7,"2,81,214",beginner,1-3 months,course,free
Aspectos básicos de la asistencia técnica,https://www.coursera.org/learn/asistencia-tecnica,Google,"Skills you'll gain: Leadership and Management, Research and Design, Problem Solving, Computer Architecture, Theoretical Computer Science, Algorithms, Communication, Computer Networking, Human Computer Interaction, Linux, Mathematics, Network Model, Network Security, Operating Systems, Security Engineering, Systems Design, Finance",4.9,"86,741",beginner,1-3 months,course,free
