course_name,course_url,course_provider,course_skill,course_rating,course_enroll,course_difficultty,course_time,course_type,course_frr
Introduction to Blockchain,https://www.coursera.org/specializations/introduction-to-blockchain,Association of International Certified Professional Accountants,"Skills you'll gain: BlockChain, Finance, FinTech, Accounting, Cryptography, Security Engineering, Theoretical Computer Science, Audit, Supply Chain and Logistics, Business Psychology, Entrepreneurship, General Statistics, Human Learning, Leadership and Management, Payments, Probability & Statistics",4.6,,beginner,1-3 months,specialization,paid
Advanced Python Scripting for Cybersecurity,https://www.coursera.org/specializations/advanced-python-scripting-for-cybersecurity,Infosec,"Skills you'll gain: Computer Programming, Python Programming, Security Engineering, Statistical Programming, Cryptography, Mathematics, Network Analysis, Operating Systems, Security Software, Software Security, System Security, Theoretical Computer Science",4.6,,beginner,1-3 months,specialization,paid
Managing Google Cloud's Apigee API Platform for Hybrid Cloud,https://www.coursera.org/specializations/managing-apigee-api-platform-for-hybrid-cloud,Google Cloud,"Skills you'll gain: Cloud Computing, Computer Programming, Computer Programming Tools, Cloud API, Google Cloud Platform, Cloud Management, Cloud Storage, Kubernetes, Software Architecture, Software Engineering, Theoretical Computer Science",4.6,,beginner,1-3 months,specialization,paid
Extended Reality for Everybody,https://www.coursera.org/specializations/extended-reality-for-everybody,University of Michigan,"Skills you'll gain: Human Computer Interaction, Virtual Reality, Computer Graphics, User Experience, Computer Programming, Business Psychology, Research and Design, User Experience Design, Interactive Design, Computer Vision, Machine Learning, Strategy, Strategy and Operations, Entrepreneurship, Leadership and Management, Problem Solving, Marketing, Operating Systems, Sales, Security Engineering, Software Security, System Security",4.6,,beginner,1-3 months,specialization,paid
Introduction to Cybersecurity & Risk Management,https://www.coursera.org/specializations/information-security,"University of California, Irvine","Skills you'll gain: Advertising, Cloud Computing, Cloud Infrastructure, Communication, Computer Architecture, Computer Graphics, Computer Networking, Entrepreneurship, Finance, Human Computer Interaction, Human Resources, Internet Of Things, Leadership and Management, Marketing, Network Architecture, Networking Hardware, Operations Management, Probability & Statistics, Risk Management, Sales, Security Engineering, Security Strategy, Software Engineering, Statistical Tests, Strategy, Strategy and Operations, Virtual Reality",4.7,,beginner,1-3 months,specialization,paid
Real-World Cloud Product Management,https://www.coursera.org/specializations/real-world-cloud-pm,Advancing Women in Tech,"Skills you'll gain: Cloud Computing, Cloud Storage, Product Management, Research and Design, Business, Marketing, Sales",4.8,,beginner,1-3 months,specialization,paid
Introduction to Computer Information Systems,https://www.coursera.org/specializations/introduction-computer-infosystems,"University of California, Irvine","Skills you'll gain: Computer Networking, Research and Design, Communication, Network Security, Security Engineering, Strategy and Operations, Business Analysis, Computer Architecture, Critical Thinking, Cyberattacks, Database Administration, Databases, Digital Marketing, Hardware Design, Influencing, Journalism, Marketing, Operating Systems, Operations Management, Security Strategy, Social Media, Software Security, Business Psychology, Microsoft Excel",4.4,,beginner,1-3 months,specialization,paid
Java Database Connectivity,https://www.coursera.org/specializations/java-database-connectivity,LearnQuest,"Skills you'll gain: Computer Programming, Databases, Other Programming Languages, Data Management, Database Application, Java Programming, Javascript, SQL, Web Development",4.8,,beginner,1-3 months,specialization,paid
Executive Data Science,https://www.coursera.org/specializations/executive-data-science,Johns Hopkins University,"Skills you'll gain: Data Analysis, Probability & Statistics, Exploratory Data Analysis, Entrepreneurship, Leadership and Management, Data Science, Business Analysis, Statistical Analysis, Research and Design, Statistical Tests, Decision Making, Business Research, Experiment, Human Resources, Market Research, Talent Management, Basic Descriptive Statistics, Data Visualization, Estimation, General Statistics, Organizational Development, People Management, Plot (Graphics), Statistical Visualization, Strategy and Operations, Business Communication, Collaboration, Communication, Computer Programming, Computer Programming Tools, Correlation And Dependence, Data Analysis Software, Data Mining, Machine Learning, Recruitment, Software Engineering, Software Framework, Strategy, Survey Creation, Application Development, Econometrics, Forecasting, Software Engineering Tools, Writing",4.5,,beginner,1-3 months,specialization,paid
Expressway to Data Science: Python Programming,https://www.coursera.org/specializations/python-programming-data-science,University of Colorado Boulder,"Skills you'll gain: Computer Programming, Python Programming, Statistical Programming, Data Analysis, Machine Learning, Accounting, Accounting Software, Computer Networking, Mathematical Theory & Analysis, Mathematics, Network Model, Algebra, Data Science, Data Visualization, Software Engineering",4.7,,beginner,1-3 months,specialization,paid
Use Tableau for Your Data Science Workflow,https://www.coursera.org/specializations/tableau-for-data-science-workflows,"University of California, Irvine","Skills you'll gain: Data Visualization, Data Analysis, Interactive Data Visualization, Statistical Visualization, Business Analysis, Communication, Data Analysis Software, Design and Product, Exploratory Data Analysis, Human Computer Interaction, Plot (Graphics), Probability & Statistics, Storytelling, User Experience, User Research, Python Programming",3.9,,beginner,1-3 months,specialization,paid
Statistics with Python,https://www.coursera.org/specializations/statistics-with-python,University of Michigan,"Skills you'll gain: Probability & Statistics, General Statistics, Statistical Programming, Python Programming, Data Science, Business Analysis, Regression, Computer Programming, Data Analysis, Statistical Analysis, Statistical Tests, Experiment, Machine Learning, Machine Learning Algorithms, Econometrics, Data Visualization, Statistical Visualization, Bayesian Statistics, Correlation And Dependence, Data Analysis Software, Estimation, Basic Descriptive Statistics, Mathematics, Plot (Graphics), Programming Principles",4.6,,beginner,1-3 months,specialization,paid
IBM AI Foundations for Business,https://www.coursera.org/specializations/ibm-ai-foundations-for-business,IBM Skills Network,"Skills you'll gain: Data Science, Applied Machine Learning, Data Management, Leadership and Management, Data Architecture, Data Mining, Machine Learning, Regression, Artificial Neural Networks, Basic Descriptive Statistics, Cloud Computing, Cloud Platforms, Data Analysis, Database Administration, Databases, Deep Learning, Big Data, Computer Vision, General Statistics, Innovation, Machine Learning Algorithms, Probability & Statistics, Storytelling, Writing",4.7,,beginner,1-3 months,specialization,paid
Cloud Computing Law,https://www.coursera.org/specializations/cloud-computing-law,Queen Mary University of London,"Skills you'll gain: Cloud Computing, Computer Networking, Network Security, Security Engineering, Security Strategy, Database Administration, Databases, Leadership and Management, Software Security, Cloud Storage, Accounting, Finance, Java Programming, Probability & Statistics, Taxes",4.8,,beginner,1-3 months,specialization,paid
Computational Thinking for Problem Solving,https://www.coursera.org/learn/computational-thinking-problem-solving,University of Pennsylvania,"Skills you'll gain: Computer Programming, Python Programming, Theoretical Computer Science, Algorithms, Computational Thinking, Computer Architecture, Microarchitecture, Applied Machine Learning, Machine Learning, Inventory Management, Programming Principles, Statistical Programming, Supply Chain and Logistics",4.7,"93,673",beginner,1-4 weeks,course,free
Introduction to Python Programming,https://www.coursera.org/learn/python-programming-intro,University of Pennsylvania,"Skills you'll gain: Python Programming, Computer Programming, Statistical Programming, Mathematics, Entrepreneurship, Leadership and Management, Mathematical Theory & Analysis, Problem Solving, Research and Design, Programming Principles",4.4,"50,342",beginner,1-4 weeks,course,free
Learning How to Learn: Powerful mental tools to help you master tough subjects,https://www.coursera.org/learn/learning-how-to-learn,Deep Teaching Solutions,"Skills you'll gain: Personal Development, Business Psychology, Human Learning, Entrepreneurship, Collaboration, Decision Making, Problem Solving",4.8,"34,48,717",beginner,1-4 weeks,course,free
Python Basics,https://www.coursera.org/learn/python-basics,University of Michigan,"Skills you'll gain: Computer Programming, Python Programming, Other Programming Languages, Computer Programming Tools, Statistical Programming",4.8,"3,59,661",beginner,1-4 weeks,course,free
Cyber Security Fundamentals,https://www.coursera.org/learn/cyber-security-fundamentals,University of London,"Skills you'll gain: Security Engineering, Finance, Leadership and Management, Operating Systems, Risk Management, System Security, Algorithms, Computer Security Incident Management, Cryptography, Cyberattacks, Theoretical Computer Science, Application Development, Communication, Entrepreneurship, Journalism, Probability & Statistics, Sales, Software Architecture, Software Engineering",4.7,"8,535",beginner,1-4 weeks,course,free
Linux Fundamentals,https://www.coursera.org/learn/linux-fundamentals,LearnQuest,"Skills you'll gain: Operating Systems, Linux, System Software, Databases, NoSQL, SQL, Computer Programming, Computer Programming Tools, Data Management, Human Computer Interaction, Software Architecture, Software Engineering, Statistical Programming, Theoretical Computer Science, User Experience",4.5,"21,794",beginner,1-4 weeks,course,free
How Computers Work,https://www.coursera.org/learn/how-computers-work,University of London,"Skills you'll gain: Computer Networking, Cyberattacks, Data Management, Network Model, Network Security, Security Engineering, Computational Logic, Computational Thinking, Computer Programming, Theoretical Computer Science",4.6,"30,669",beginner,1-4 weeks,course,free
Supervised Machine Learning: Regression and Classification,https://www.coursera.org/learn/machine-learning,DeepLearning.AI,"Skills you'll gain: Machine Learning, Probability & Statistics, Regression, General Statistics, Machine Learning Algorithms, Algorithms, Theoretical Computer Science, Econometrics, Computer Programming, Mathematics, Python Programming, Statistical Machine Learning, Statistical Programming, Applied Machine Learning, Artificial Neural Networks, Calculus, Feature Engineering, Linear Algebra, Probability Distribution, Accounting",4.9,"2,61,061",beginner,1-4 weeks,course,free
Advanced Learning Algorithms,https://www.coursera.org/learn/advanced-learning-algorithms,DeepLearning.AI,"Skills you'll gain: Machine Learning, Artificial Neural Networks, Deep Learning, Machine Learning Algorithms, Applied Machine Learning, Computer Programming, Python Programming, Statistical Programming, Theoretical Computer Science, Tensorflow, Algorithms, Data Management, Data Structures, Probability & Statistics, General Statistics, Statistical Machine Learning, Computer Vision, Mathematics, Probability Distribution, Computational Logic, Linear Algebra, Mathematical Theory & Analysis",4.9,"89,451",beginner,1-4 weeks,course,free
Introduction to Cybersecurity Tools & Cyber Attacks,https://www.coursera.org/learn/introduction-cybersecurity-cyber-attacks,IBM,"Skills you'll gain: Security Engineering, Computer Security Incident Management, Cryptography, Cyberattacks, Network Security, System Security, Computer Networking, Leadership and Management, Operating Systems, Theoretical Computer Science",4.6,"3,18,523",beginner,1-4 weeks,course,free
"Unsupervised Learning, Recommenders, Reinforcement Learning",https://www.coursera.org/learn/unsupervised-learning-recommenders-reinforcement-learning,DeepLearning.AI,"Skills you'll gain: Machine Learning, Probability & Statistics, General Statistics, Machine Learning Algorithms, Applied Machine Learning, Mathematics, Reinforcement Learning, Theoretical Computer Science, Econometrics, Algorithms, Data Management, Data Structures, Tensorflow, Artificial Neural Networks, Data Analysis, Data Mining, Mathematical Theory & Analysis, Probability Distribution, Bayesian Statistics, Computer Programming, Operations Research, Python Programming, Research and Design, Statistical Programming, Strategy and Operations, Communication",4.9,"66,151",beginner,1-4 weeks,course,free
Tools for Data Science,https://www.coursera.org/learn/open-source-tools-for-data-science,IBM Skills Network,"Skills you'll gain: Computer Programming Tools, Data Analysis Software, Data Structures, Machine Learning Software, Software Visualization, Python Programming, Statistical Programming, Data Visualization Software, R Programming, Data Science, Devops Tools, Machine Learning Algorithms, SPSS, Computer Programming, Machine Learning",4.5,"3,55,503",beginner,1-4 weeks,course,free
Google Professional  Workspace Administrator Professional Certificate,https://www.coursera.org/professional-certificates/g-suite-administration,Google Cloud,Skills you'll gain:Google workspace,4.7,"21,881",beginner,2 months,professional,paid
Analyze Data to Answer Questions,https://www.coursera.org/learn/analyze-data,Google,"Skills you'll gain: Business, Business Analysis, Data Science, SQL, Spreadsheet Software, Statistical Programming, Data Analysis, Statistical Analysis, Algorithms, Computer Networking, Data Management, Data Mining, Databases, Extract, Transform, Load, Feature Engineering, Machine Learning, Network Security, Security Engineering, Security Strategy, Theoretical Computer Science",4.6,"3,27,012",beginner,1-4 weeks,course,free
Build Wireframes and Low-Fidelity Prototypes,https://www.coursera.org/learn/wireframes-low-fidelity-prototypes,Google,"Skills you'll gain: Design and Product, Human Computer Interaction, Product Design, Software Architecture, Software Engineering, Theoretical Computer Science, User Experience, Web Design, Web Development",4.9,"1,85,510",beginner,1-4 weeks,course,free
Calculus for Machine Learning and Data Science,https://www.coursera.org/learn/machine-learning-calculus,DeepLearning.AI,"Skills you'll gain: Algorithms, Calculus, Mathematics, Theoretical Computer Science, Machine Learning, Mathematical Theory & Analysis, Machine Learning Algorithms, Artificial Neural Networks, Deep Learning, Differential Equations, Probability & Statistics, Regression, Statistical Machine Learning, Algebra, Econometrics, General Statistics, Python Programming",4.8,"7,620",beginner,1-4 weeks,course,free
Introduction to Front-End Development,https://www.coursera.org/learn/introduction-to-front-end-development,Meta,"Skills you'll gain: HTML and CSS, Web Development, React (web framework), Software Engineering Tools, Software Framework, Business Psychology, Computer Architecture, Computer Networking, Computer Programming, Computer Programming Tools, Front-End Web Development, Javascript, Network Architecture, Network Model, Network Security, Research and Design, Security Engineering, User Experience Design, Web Design, Web Development Tools",4.8,"1,35,762",beginner,1-4 weeks,course,free
Artificial Intelligence in Marketing,https://www.coursera.org/learn/uva-darden-artificial-intelligence-marketing,University of Virginia,"Skills you'll gain: Marketing, Leadership and Management, Machine Learning, Algorithms, Entrepreneurship, Sales, Strategy, Strategy and Operations, Theoretical Computer Science, Big Data, Business Analysis, Customer Relationship Management, Data Management, Deep Learning, Design and Product, Finance, Human Computer Interaction, Machine Learning Algorithms, Market Research, Mathematics, Network Analysis, Research and Design, User Research, Accounting, Digital Marketing, Financial Analysis",4.5,"12,815",beginner,1-4 weeks,course,free
Introduction to Cybersecurity Foundations,https://www.coursera.org/learn/introduction-to-cybersecurity-foundations,Infosec,"Skills you'll gain: Cloud Computing, Cloud Infrastructure, Computer Networking, Network Security, Operating Systems, Security Engineering, System Security, Cloud Platforms, Programming Principles, Systems Design, Theoretical Computer Science",4.6,"14,536",beginner,1-4 weeks,course,free
Cybersecurity Compliance Framework & System Administration,https://www.coursera.org/learn/cybersecurity-compliance-framework-system-administration,IBM,"Skills you'll gain: Security Engineering, Cyberattacks, Computer Security Incident Management, Cryptography, Operating Systems, Application Development, Finance, Regulations and Compliance, Software Engineering, Software Testing, Theoretical Computer Science",4.7,"68,358",beginner,1-4 weeks,course,free
"Information Systems Auditing, Controls and Assurance",https://www.coursera.org/learn/information-systems-audit,The Hong Kong University of Science and Technology,"Skills you'll gain: Information Technology, Security Engineering, Strategy and Operations, Change Management, Computer Science, Software Security, Accounting, Audit, Finance, Risk Management, Software Engineering, Software Testing",4.7,"63,471",beginner,1-4 weeks,course,free
Machine Learning for All,https://www.coursera.org/learn/uol-machine-learning-for-all,University of London,"Skills you'll gain: Machine Learning, Applied Machine Learning, Artificial Neural Networks, Feature Engineering, Algorithms, Machine Learning Algorithms, Theoretical Computer Science",4.7,"1,40,569",beginner,1-4 weeks,course,free
Machine Learning Introduction for Everyone,https://www.coursera.org/learn/machine-learning-introduction-for-everyone,IBM Skills Network,"Skills you'll gain: Machine Learning, Algorithms, Data Analysis, Deep Learning, Machine Learning Algorithms, Probability & Statistics, Regression, Reinforcement Learning, Theoretical Computer Science",4.5,"7,685",beginner,1-4 weeks,course,free
Network Security & Database Vulnerabilities,https://www.coursera.org/learn/network-security-database-vulnerabilities,IBM,"Skills you'll gain: Security Engineering, Computer Networking, Network Model, Network Security, Cyberattacks, Databases, System Security, Computer Architecture, Data Management, Data Structures, Database Administration, Database Application, Network Architecture, SQL, Software Security, Statistical Programming, Theoretical Computer Science",4.7,"68,848",beginner,1-4 weeks,course,free
Fundamentals of GIS,https://www.coursera.org/learn/gis,"University of California, Davis","Skills you'll gain: ArcGIS, Statistical Programming, Data Visualization, Data Analysis, GIS Software, Geovisualization, Entrepreneurship, Leadership and Management, Problem Solving, Research and Design, Spatial Analysis, Data Management, Data Model, Data Structures, Spatial Data Analysis, Theoretical Computer Science",4.8,"1,44,837",beginner,1-4 weeks,course,free
Ordered Data Structures,https://www.coursera.org/learn/cs-fundamentals-2,University of Illinois at Urbana-Champaign,"Skills you'll gain: Computer Programming, Data Structures, Theoretical Computer Science, C++ Programming, Data Management, Other Programming Languages, Algorithms, Programming Principles, Computational Logic, Mathematical Theory & Analysis, Mathematics, C Programming Language Family, Computational Thinking, Feature Engineering, Machine Learning",4.8,"24,220",mixed,1-4 weeks,course,free
AI Fundamentals for Non-Data Scientists,https://www.coursera.org/learn/wharton-ai-fundamentals-non-data-scientists,University of Pennsylvania,"Skills you'll gain: Data Management, Machine Learning, Artificial Neural Networks, Deep Learning, Machine Learning Algorithms, Applied Machine Learning, Big Data, Computational Thinking, Computer Programming, Data Analysis, Data Mining, Data Warehousing, Feature Engineering, Natural Language Processing, Reinforcement Learning, Theoretical Computer Science",4.7,"5,762",mixed,1-4 weeks,course,free
Introduction to Genomic Technologies,https://www.coursera.org/learn/introduction-genomics,Johns Hopkins University,"Skills you'll gain: Probability & Statistics, Bioinformatics, Data Analysis, Business Analysis, General Statistics, Statistical Analysis, Algorithms, Computer Programming, Software Engineering, Statistical Tests, Theoretical Computer Science",4.6,"86,510",mixed,1-4 weeks,course,free
Operations Analytics,https://www.coursera.org/learn/wharton-operations-analytics,University of Pennsylvania,"Skills you'll gain: Business Analysis, Correlation And Dependence, Data Analysis, Forecasting, General Statistics, Operational Analysis, Operations Management, Operations Research, Probability & Statistics, Probability Distribution, Research and Design, Spreadsheet Software, Statistical Analysis, Strategy and Operations, Supply Chain and Logistics, Basic Descriptive Statistics, Data Visualization, Microsoft Excel, Plot (Graphics), Statistical Tests, Statistical Visualization, Accounting, Applied Mathematics, Computational Logic, Computer Programming, Computer Programming Tools, Data Analysis Software, Data Management, Data Structures, Decision Making, Entrepreneurship, Leadership and Management, Theoretical Computer Science",4.7,"1,08,416",mixed,1-4 weeks,course,free
AI Applications in Marketing and Finance,https://www.coursera.org/learn/wharton-ai-applications-marketing-finance,University of Pennsylvania,"Skills you'll gain: Machine Learning, Business Analysis, Finance, Marketing, Accounting, Algorithms, Customer Analysis, Customer Relationship Management, Customer Success, Data Analysis, Financial Analysis, Sales, Strategy and Operations, Theoretical Computer Science",4.6,"3,148",mixed,1-4 weeks,course,free
Foundations of Healthcare Systems Engineering,https://www.coursera.org/learn/foundations-of-healthcare-systems-engineering,Johns Hopkins University,"Skills you'll gain: Leadership and Management, Entrepreneurship, Operating Systems, Systems Design, Theoretical Computer Science, Bioinformatics, Decision Making, Problem Solving, Research and Design, Strategy and Operations",4.7,"8,150",mixed,1-4 weeks,course,free
Hypothesis-Driven Development,https://www.coursera.org/learn/uva-darden-agile-testing,University of Virginia,"Skills you'll gain: Computer Science, Design and Product, Product Design, Product Development, Business Process Management, Continuous Delivery, DevOps, Entrepreneurship, Human Computer Interaction, Persona Research, Research and Design, Software Engineering, Software Testing, Strategy and Operations, User Experience, User Research",4.7,"45,311",mixed,1-4 weeks,course,free
Algorithms for DNA Sequencing,https://www.coursera.org/learn/dna-sequencing,Johns Hopkins University,"Skills you'll gain: Algorithms, Bioinformatics, Computer Programming, Probability & Statistics, Theoretical Computer Science, Python Programming, Statistical Programming",4.7,"36,384",mixed,1-4 weeks,course,free
Client Needs and Software Requirements,https://www.coursera.org/learn/client-needs-and-software-requirements,University of Alberta,"Skills you'll gain: Computer Science, Design and Product, Product Design, User Research, Agile Software Development, Application Development, Entrepreneurship, Leadership and Management, Product Management, Software Engineering, Strategy and Operations",4.8,"66,790",mixed,1-4 weeks,course,free
Unordered Data Structures,https://www.coursera.org/learn/cs-fundamentals-3,University of Illinois at Urbana-Champaign,"Skills you'll gain: Data Structures, Theoretical Computer Science, Computer Programming, Algorithms, C++ Programming, Graph Theory, Mathematics, Computational Logic, Computer Architecture, Hardware Design, Mathematical Theory & Analysis",4.7,"15,882",mixed,1-4 weeks,course,free
"Application of AI, InsurTech, and Real Estate Technology",https://www.coursera.org/learn/wharton-ai-application-insurtech-real-estate-technology,University of Pennsylvania,"Skills you'll gain: FinTech, Finance, Machine Learning, Algorithms, Machine Learning Algorithms, Risk Management, Theoretical Computer Science",4.6,"14,255",mixed,1-4 weeks,course,free
Managing an Agile Team,https://www.coursera.org/learn/uva-darden-agile-team-management,University of Virginia,"Skills you'll gain: Agile Software Development, Computer Science, Software Engineering, Leadership and Management, Operations Management, Project Management, Scrum (Software Development), Strategy and Operations, Supply Chain Systems, Supply Chain and Logistics",4.7,"58,223",mixed,1-4 weeks,course,free
Command Line Tools for Genomic Data Science,https://www.coursera.org/learn/genomic-tools,Johns Hopkins University,"Skills you'll gain: Bioinformatics, Probability & Statistics, Computer Programming, Computer Programming Tools, Other Programming Languages, Data Analysis, Human Computer Interaction, Software Architecture, Software Engineering, Theoretical Computer Science, User Experience",4,"25,058",mixed,1-4 weeks,course,free
Agile Planning for Software Products,https://www.coursera.org/learn/agile-planning-for-software-products,University of Alberta,"Skills you'll gain: Agile Software Development, Design and Product, Entrepreneurship, Product Management, Project Management, Software Engineering, Strategy and Operations, Computer Science, Leadership and Management, Planning, Supply Chain and Logistics, Collaboration, Communication, Conflict Management, Data Science, Human Resources, Product Development, Estimation, Finance, Probability & Statistics",4.8,"59,691",mixed,1-4 weeks,course,free
Introduction to Data Analytics for Business,https://www.coursera.org/learn/data-analytics-business,University of Colorado Boulder,"Skills you'll gain: Data Analysis, Basic Descriptive Statistics, Database Design, Database Theory, Databases, Data Management, Data Model, Data Structures, Exploratory Data Analysis, Business Analysis, Cloud Computing, SQL, Statistical Programming",4.7,"1,66,388",mixed,1-4 weeks,course,free
The Arduino Platform and C Programming,https://www.coursera.org/learn/arduino-platform,"University of California, Irvine","Skills you'll gain: Internet Of Things, C Programming Language Family, Computer Architecture, Computer Programming, C++ Programming, Software Engineering, Computational Thinking, Computer Graphics, Computer Networking, Human Computer Interaction, Interactive Design, Network Architecture, Other Programming Languages, Theoretical Computer Science",4.7,"1,77,182",mixed,1-4 weeks,course,free
Operating System Foundations,https://www.coursera.org/learn/operating-system-foundations,Infosec,"Skills you'll gain: Human Computer Interaction, Linux, Operating Systems, Software Architecture, Software Engineering, Theoretical Computer Science, User Experience",4.3,,mixed,1-4 weeks,course,free
Business Analytics for Decision Making,https://www.coursera.org/learn/business-analytics-decision-making,University of Colorado Boulder,"Skills you'll gain: Data Analysis, Business Analysis, Machine Learning, Markov Model, Algorithms, Big Data, Data Analysis Software, Machine Learning Algorithms, Statistical Analysis, Theoretical Computer Science, Exploratory Data Analysis",4.6,"79,859",mixed,1-4 weeks,course,free
Practical Machine Learning,https://www.coursera.org/learn/practical-machine-learning,Johns Hopkins University,"Skills you'll gain: Machine Learning, Machine Learning Software, Data Science, R Programming, Data Analysis, Exploratory Data Analysis, General Statistics, Statistical Analysis, Machine Learning Algorithms, Algorithms, Applied Machine Learning, Probability & Statistics, Theoretical Computer Science",4.5,"1,47,500",mixed,1-4 weeks,course,free
Introduction to the Internet of Things and Embedded Systems,https://www.coursera.org/learn/iot,"University of California, Irvine","Skills you'll gain: Internet Of Things, Computer Networking, Network Model, Computer Architecture, Computer Graphics, Human Computer Interaction, Microarchitecture, Network Architecture, Network Security, Operating Systems, Security Engineering, Software Engineering, Theoretical Computer Science",4.7,"2,96,371",mixed,1-4 weeks,course,free
Machine Learning Basics,https://www.coursera.org/learn/machine-learning-basics,Sungkyunkwan University,"Skills you'll gain: Algorithms, Machine Learning, Machine Learning Algorithms, Theoretical Computer Science",4.5,"2,275",mixed,1-4 weeks,course,free
Machine Learning Algorithms: Supervised Learning Tip to Tail,https://www.coursera.org/learn/machine-learning-classification-algorithms,Alberta Machine Intelligence Institute,"Skills you'll gain: Machine Learning, Machine Learning Algorithms, Algorithms, Artificial Neural Networks, Regression, Theoretical Computer Science, Probability & Statistics",4.7,"15,389",mixed,1-4 weeks,course,free
User Experience: Research & Prototyping,https://www.coursera.org/learn/user-research,University of California San Diego,"Skills you'll gain: Computer Science, Human Computer Interaction, User Experience, User Research, Business Psychology, Design and Product, Entrepreneurship, Persona Research, Research and Design, User Experience Design",4.6,"43,898",mixed,1-4 weeks,course,free
Robotics: Computational Motion Planning,https://www.coursera.org/learn/robotics-motion-planning,University of Pennsylvania,"Skills you'll gain: Theoretical Computer Science, Algorithms, Data Analysis, Mathematics, Entrepreneurship, Leadership and Management, Planning, Supply Chain and Logistics, General Statistics, Probability & Statistics",4.3,"37,153",mixed,1-4 weeks,course,free
Introduction to Computer Science and Programming,https://www.coursera.org/specializations/introduction-computer-science-programming,University of London,"Skills you'll gain: Mathematics, Computer Programming, Computer Science, Javascript, Computer Networking, Computer Architecture, Cyberattacks, Data Management, Data Visualization, Microarchitecture, Network Model, Network Security, Plot (Graphics), Security Engineering, Theoretical Computer Science, Computational Logic, Computational Thinking",4.2,"36,710",beginner,3-6 months,course,free
Python for Everybody,https://www.coursera.org/specializations/python,University of Michigan,"Skills you'll gain: Computer Programming, Python Programming, Statistical Programming, Data Management, SQL, Databases, Extract, Transform, Load, Computer Networking, Network Model, Other Programming Languages, Computational Logic, Computer Programming Tools, Data Structures, Javascript, Natural Language Processing, Programming Principles, Software Architecture, Software Engineering, Theoretical Computer Science, Web Development",4.8,"14,33,332",beginner,3-6 months,course,free
Fundamentals of Computing,https://www.coursera.org/specializations/computer-fundamentals,Rice University,"Skills you'll gain: Computer Programming, Python Programming, Computer Science, Theoretical Computer Science, Algorithms, Data Structures, Programming Principles, Mathematics, Applied Mathematics, Probability & Statistics, Mathematical Theory & Analysis, Data Management, Entrepreneurship, General Statistics, Leadership and Management, Problem Solving, Research and Design, Combinatorics, Computational Thinking, Graph Theory, Statistical Programming, Strategy and Operations",4.8,"56,966",beginner,3-6 months,course,free
Java Programming and Software Engineering Fundamentals,https://www.coursera.org/specializations/java-programming,Duke University,"Skills you'll gain: Computer Programming, Java Programming, Web Development, Mobile Development, Javascript, Entrepreneurship, Leadership and Management, Problem Solving, Research and Design, Theoretical Computer Science, Algorithms, Cryptography, Security Engineering, Front-End Web Development, HTML and CSS, Web Design, Data Analysis, Data Management, Data Structures, General Statistics, Probability & Statistics, Programming Principles, Computer Graphics, Computational Thinking, Computer Architecture, Computer Networking, Machine Learning, Markov Model, Network Architecture, Software Engineering, Software Testing",4.6,"2,83,703",beginner,3-6 months,course,free
Geographic Information Systems  (GIS),https://www.coursera.org/specializations/gis,"University of California, Davis","Skills you'll gain: ArcGIS, Statistical Programming, Data Analysis, Data Visualization, Spatial Analysis, Geovisualization, Spatial Data Analysis, Data Management, GIS Software, Data Model, Databases, Entrepreneurship, Leadership and Management, Problem Solving, Research and Design, Data Analysis Software, Data Visualization Software, Data Structures, Geometry, Machine Learning, Mathematics, Theoretical Computer Science, Visualization (Computer Graphics)",4.8,"74,929",beginner,3-6 months,course,free
Digital Product Management,https://www.coursera.org/specializations/uva-darden-digital-product-management,University of Virginia,"Skills you'll gain: Design and Product, Agile Software Development, Software Engineering, Leadership and Management, Product Management, Computer Science, Strategy and Operations, Business Analysis, Data Analysis, User Experience, Product Design, Product Development, Strategy, Business Intelligence, Business Process Management, Continuous Delivery, DevOps, Entrepreneurship, Human Computer Interaction, Marketing, Operations Management, Persona Research, Project Management, Research and Design, Sales, Scrum (Software Development), Software Testing, Supply Chain Systems, Supply Chain and Logistics, User Research",4.7,"50,431",beginner,3-6 months,course,free
Introduction to Discrete Mathematics for Computer Science,https://www.coursera.org/specializations/discrete-mathematics,University of California San Diego,"Skills you'll gain: Mathematics, Graph Theory, Computer Science, Computer Programming, Python Programming, Statistical Programming, Data Science, Algebra, Theoretical Computer Science, Probability & Statistics, Algorithms, Calculus, Combinatorics, Data Analysis, Statistical Analysis, General Statistics, Mathematical Theory & Analysis, Programming Principles, Bayesian Statistics, Computational Thinking, Geometry, Applied Mathematics, Correlation And Dependence, Estimation, Probability Distribution, Computational Logic, Business Analysis, Communication, Computer Architecture, Critical Thinking, Cryptography, Data Visualization, Entrepreneurship, Leadership and Management, Machine Learning, Markov Model, Microarchitecture, Problem Solving, Research and Design, Scientific Visualization, Security Engineering, Statistical Visualization, Strategy and Operations",4.5,"70,823",beginner,3-6 months,course,free
